ID,Date,Conc,Morning,Day,Evening,Night,Night2,Moonlight,Moonlight_before,Temperature,Temperature_before,Rainfall,Radiation,Denning,Babysitting,Bsat_morn,Bsat_eve,nightnot,Hunt_number,Morning duration,Day duration,Evening duration,Night duration,Duration 24h ,Morning duration,Day duration,Evening duration,Night duration,Intensity 24h
WDF105,30/10/2011,WDF10540846,1,0,1,0,0,0.869193122,0.394531757,NA,25.08,1.1,437.4207,yes,yes,no,yes,0,2,0,0,0,0,NA,0,0,0,0,NA
WDF105,27/11/2011,WDF10540874,0,0,1,0,0,0.263198378,0.067655258,NA,23.37,3.2,442.2206,yes,yes,yes,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,07/01/2011,WDF10940550,0,0,1,0,0,0.360229701,6.299001483,NA,24.75,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,08/01/2011,WDF10940551,1,0,0,0,0,0.688835628,0.360229701,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,09/01/2011,WDF10940552,1,0,1,0,0,1.139033765,0.688835628,NA,NA,NA,NA,no,no,no,no,0,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,10/01/2011,WDF10940553,0,0,0,1,0,1.730944533,1.139033765,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,11/01/2011,WDF10940554,1,0,1,0,0,2.47793949,1.730944533,NA,NA,NA,NA,no,no,no,no,0,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,12/01/2011,WDF10940555,0,0,1,0,0,3.370627647,2.47793949,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,13/01/2011,WDF10940556,1,1,1,0,0,4.426844119,3.370627647,NA,NA,NA,NA,no,no,no,no,0,3,0,0,0,0,NA,0,0,0,0,NA
WDF109,14/01/2011,WDF10940557,1,0,0,0,0,5.625634652,4.426844119,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,15/01/2011,WDF10940558,1,0,1,1,1,6.9445731,5.625634652,NA,NA,NA,NA,no,no,no,no,206.4,3,0,0,0,0,NA,0,0,0,0,NA
WDF109,16/01/2011,WDF10940559,1,0,0,0,0,8.315550171,6.9445731,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,17/01/2011,WDF10940560,1,0,0,1,1,9.64413567,8.315550171,NA,NA,NA,NA,no,no,no,no,24,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,18/01/2011,WDF10940561,1,0,1,1,1,10.81314294,9.64413567,NA,NA,NA,NA,no,no,no,no,129.6,3,0,0,0,0,NA,0,0,0,0,NA
WDF109,19/01/2011,WDF10940562,1,0,0,1,1,11.11143705,10.81314294,NA,NA,NA,NA,no,no,no,no,225.6,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,20/01/2011,WDF10940563,0,0,0,0,0,10.63834306,11.11143705,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,21/01/2011,WDF10940564,1,0,0,1,1,9.246780046,10.63834306,NA,NA,NA,NA,no,no,no,no,139.2,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,22/01/2011,WDF10940565,1,0,1,1,1,7.749690434,9.246780046,NA,NA,NA,NA,no,no,no,no,264,3,0,0,0,0,NA,0,0,0,0,NA
WDF109,23/01/2011,WDF10940566,1,0,0,0,0,6.231086891,7.749690434,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,24/01/2011,WDF10940567,0,0,1,1,1,4.773267916,6.231086891,NA,NA,NA,NA,no,no,no,no,124.8,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,25/01/2011,WDF10940568,0,0,0,1,0,3.449948139,4.773267916,NA,NA,NA,NA,no,no,no,no,0,1,0,0,0,0,NA,0,0,0,0,NA
WDF109,26/01/2011,WDF10940569,1,0,0,1,1,2.321888488,3.449948139,NA,NA,NA,NA,no,no,no,no,139.2,2,0,0,0,0,NA,0,0,0,0,NA
WDF109,27/01/2011,WDF10940570,0,0,0,0,0,1.422270295,2.321888488,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,28/01/2011,WDF10940571,0,0,0,0,0,0.771601643,1.422270295,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,29/01/2011,WDF10940572,0,0,0,0,0,0.350641466,0.771601643,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,30/01/2011,WDF10940573,0,0,0,0,0,0.121126052,0.350641466,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,31/01/2011,WDF10940574,0,0,0,0,0,0.024099997,0.121126052,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,01/02/2011,WDF10940575,0,0,0,0,0,0.00086171,0.024099997,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,02/02/2011,WDF10940576,0,0,0,0,0,0,0.00086171,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,03/02/2011,WDF10940577,0,0,0,0,0,0.000237819,0,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,04/02/2011,WDF10940578,0,0,0,0,0,0.041616773,0.000237819,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,05/02/2011,WDF10940579,0,0,0,0,0,0.149886186,0.041616773,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,06/02/2011,WDF10940580,0,0,0,0,0,0.354398531,0.149886186,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,07/02/2011,WDF10940581,0,0,0,0,0,0.682890044,0.354398531,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,08/02/2011,WDF10940582,0,0,0,0,0,1.15319583,0.682890044,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,09/02/2011,WDF10940583,0,0,0,0,0,1.79878819,1.15319583,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,10/02/2011,WDF10940584,0,0,0,0,0,2.636758819,1.79878819,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,11/02/2011,WDF10940585,0,0,0,0,0,3.682344528,2.636758819,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,12/02/2011,WDF10940586,0,0,0,0,0,4.909723046,3.682344528,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,13/02/2011,WDF10940587,0,0,0,0,0,6.274113229,4.909723046,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,14/02/2011,WDF10940588,0,0,0,0,0,7.704638022,6.274113229,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,15/02/2011,WDF10940589,0,0,0,0,0,9.085247163,7.704638022,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,16/02/2011,WDF10940590,0,0,0,0,0,10.31957567,9.085247163,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,17/02/2011,WDF10940591,0,0,0,0,0,11.1687094,10.31957567,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,18/02/2011,WDF10940592,0,0,0,0,0,10.97073234,11.1687094,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,19/02/2011,WDF10940593,0,0,0,0,0,9.939181674,10.97073234,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,20/02/2011,WDF10940594,0,0,0,0,0,8.471221268,9.939181674,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,21/02/2011,WDF10940595,0,0,0,0,0,6.925628856,8.471221268,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,22/02/2011,WDF10940596,0,0,0,0,0,5.408060584,6.925628856,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,23/02/2011,WDF10940597,0,0,0,0,0,3.992240158,5.408060584,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,24/02/2011,WDF10940598,0,0,0,0,0,2.767333056,3.992240158,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,25/02/2011,WDF10940599,0,0,0,0,0,1.77514228,2.767333056,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF109,26/02/2011,WDF10940600,0,0,0,0,0,1.040303638,1.77514228,NA,NA,NA,NA,no,no,no,no,0,0,0,0,0,0,NA,0,0,0,0,NA
WDF120,06/01/2015,WDF12042010,0,0,0,1,0,9.845644979,10.92602186,NA,30.16,0,0,no,no,no,no,0,1,0,0,0,280,280,0,0,0,31.45,31.45
WDF120,07/01/2015,WDF12042011,0,0,0,1,0,8.668531007,9.845644979,NA,NA,0,0,no,no,no,no,0,1,0,0,0,330,330,0,0,0,42.93333,42.93333
WDF120,08/01/2015,WDF12042012,0,0,1,1,1,7.460391281,8.668531007,NA,NA,0,0,no,no,no,no,235,2,0,0,145,235,380,0,0,26.77241,41.37872,34.075565
WDF120,09/01/2015,WDF12042013,1,0,0,1,1,6.263346847,7.460391281,NA,NA,0,0,no,no,no,no,145,2,185,0,0,145,330,40.08649,0,0,30.98621,35.53635
WDF120,10/01/2015,WDF12042014,1,0,1,1,1,5.082032108,6.263346847,NA,NA,0,0,no,no,no,no,60,3,115,0,95,0,210,26.70435,0,35.78947,0,20.83127333
WDF120,11/01/2015,WDF12042015,1,0,0,1,1,3.972043584,5.082032108,NA,NA,0,0,no,no,no,no,90,2,180,0,0,90,270,41.31667,0,0,53.17778,47.247225
WDF120,12/01/2015,WDF12042016,0,0,1,1,0,2.961172845,3.972043584,NA,NA,0,0,no,no,no,no,0,2,0,0,90,230,320,0,0,57.32222,54.16957,55.745895
WDF120,13/01/2015,WDF12042017,1,0,1,0,0,2.063986786,2.961172845,NA,NA,0,0,no,no,no,no,0,2,200,0,160,0,360,61.31,0,41.95,0,51.63
WDF120,14/01/2015,WDF12042018,0,0,1,1,0,1.31602829,2.063986786,NA,NA,0,0,no,no,no,no,0,2,0,0,110,250,360,0,0,18.78182,51.152,34.96691
WDF120,09/03/2015,WDF12042072,0,0,1,1,1,7.083309963,8.39521056,NA,30.15,0,0,no,no,no,no,60,2,0,0,70,200,270,0,0,35.4,51.28,43.34
WDF120,10/03/2015,WDF12042073,1,0,0,1,1,5.750720779,7.083309963,NA,NA,0,0,no,no,no,no,75,2,165,0,0,0,165,43.78788,0,0,0,21.89394
WDF120,11/03/2015,WDF12042074,0,0,1,1,0,4.439902376,5.750720779,NA,NA,0,0,no,no,no,no,0,2,0,0,75,195,270,0,0,20.8,30.85641,25.828205
WDF120,12/03/2015,WDF12042075,1,0,1,1,1,3.225293446,4.439902376,NA,NA,0,0,no,no,no,no,95,3,215,0,105,95,415,25.6093,0,57.64762,64.2,49.15230667
WDF120,13/03/2015,WDF12042076,1,1,1,1,1,2.161075559,3.225293446,NA,NA,0,0,no,no,no,no,95,4,205,85,100,95,485,64.7122,13.84706,32.44,50.62105,40.4050775
WDF120,14/03/2015,WDF12042077,1,0,0,0,0,1.304557237,2.161075559,NA,NA,0,0,no,no,no,no,0,1,445,0,0,0,445,28.31461,0,0,0,28.31461
WDF120,15/03/2015,WDF12042078,1,0,1,0,0,0.680557691,1.304557237,NA,NA,0,0,no,no,no,no,0,2,270,0,90,0,360,36.34074,0,43.1,0,39.72037
WDF120,16/03/2015,WDF12042079,1,0,1,0,0,0.2832036,0.680557691,NA,NA,0,0,no,no,no,no,0,2,280,0,85,0,365,44.75357,0,37.83529,0,41.29443
WDF120,17/03/2015,WDF12042080,1,0,1,1,1,0.078306611,0.2832036,NA,NA,0,0,no,no,no,no,70,3,85,0,105,70,260,49.44706,0,48.37143,14.45714,37.42521
WDF120,18/03/2015,WDF12042081,0,0,0,1,0,0.007444231,0.078306611,NA,NA,0,0,no,no,no,no,0,1,0,0,0,200,200,0,0,0,61.765,61.765
WDF120,19/03/2015,WDF12042082,1,0,1,1,1,0,0.007444231,NA,NA,0,0,no,no,no,no,150,3,155,0,150,150,455,29.93548,0,60.92,50.88667,47.24738333
WDF120,20/03/2015,WDF12042083,1,0,1,1,1,0,0,NA,NA,0,0,no,no,no,no,105,3,175,0,80,0,255,65.17143,0,31.225,0,32.13214333
WDF120,21/03/2015,WDF12042084,1,0,1,0,0,0.047010341,0,NA,NA,0,0,no,no,no,no,0,2,230,0,195,0,425,55.47826,0,47.12821,0,51.303235
WDF120,22/03/2015,WDF12042085,0,0,1,0,0,0.212709504,0.047010341,NA,NA,0,0,no,no,no,no,0,1,0,0,90,0,90,0,0,38.44444,0,38.44444
WDF120,23/03/2015,WDF12042086,1,0,1,0,0,0.545687039,0.212709504,NA,NA,0,0,no,no,no,no,0,2,205,0,150,0,355,32.1561,0,45.61333,0,38.884715
