ID,Date,Conc,Morning,Day,Evening,Night,Night2,Moonlight,Moonlight_before,Temperature,Temperature_before,Rainfall,Denning,Babysitting,Bsat_morn,Bsat_eve,nightnot
WDF105,14/09/2011,WDF10540800,1,0,1,0,0,9.25800075,6.855775622,27.12,27.76,0,no,no,no,no,0
WDF105,15/09/2011,WDF10540801,1,0,1,0,0,8.03002197,9.25800075,25.87,27.12,0.7,no,no,no,no,0
WDF105,16/09/2011,WDF10540802,1,0,1,0,0,6.759934099,8.03002197,26.96,25.87,0,no,no,no,no,0
WDF105,17/09/2011,WDF10540803,1,0,1,0,0,5.4726221,6.759934099,26.04,26.96,0.8,no,no,no,no,0
WDF105,18/09/2011,WDF10540804,1,0,1,0,0,4.232159649,5.4726221,25.27,26.04,0,no,no,no,no,0
WDF105,19/09/2011,WDF10540805,1,0,1,0,0,3.08246931,4.232159649,25.57,25.27,0,no,no,no,no,0
WDF105,20/09/2011,WDF10540806,1,0,1,0,0,2.089889205,3.08246931,27.13,25.57,0,no,no,no,no,0
WDF105,21/09/2011,WDF10540807,1,0,1,0,0,1.291700864,2.089889205,28.27,27.13,0,no,no,no,no,0
WDF105,22/09/2011,WDF10540808,1,0,1,0,0,0.700583966,1.291700864,28.54,28.27,0,no,no,no,no,0
WDF105,23/09/2011,WDF10540809,1,1,1,0,0,0.313494217,0.700583966,29.61,28.54,0,no,no,no,no,0
WDF105,24/09/2011,WDF10540810,1,0,0,0,0,0.099349282,0.313494217,28.5,29.61,0,no,no,no,no,0
WDF105,25/09/2011,WDF10540811,1,0,1,0,0,0.014718302,0.099349282,27.85,28.5,0.2,no,no,no,no,0
WDF105,26/09/2011,WDF10540812,1,0,1,0,0,0.000125517,0.014718302,27.02,27.85,0,no,no,no,no,0
WDF105,27/09/2011,WDF10540813,1,0,1,0,0,0,0.000125517,26.37,27.02,0.2,no,no,no,no,0
WDF105,28/09/2011,WDF10540814,1,0,1,0,0,0.027083822,0,27.02,26.37,0,no,no,no,no,0
WDF105,29/09/2011,WDF10540815,1,0,1,0,0,0.172631567,0.027083822,27.9,27.02,0,no,no,no,no,0
WDF105,30/09/2011,WDF10540816,1,0,0,0,0,0.496500724,0.172631567,28.41,27.9,0,no,no,no,no,0
WDF105,01/10/2011,WDF10540817,0,0,0,0,0,1.046178648,0.496500724,27.83,28.41,0,no,no,no,no,0
WDF105,02/10/2011,WDF10540818,1,1,1,0,0,1.835216432,1.046178648,27.7,27.83,0,no,no,no,no,0
WDF105,03/10/2011,WDF10540819,1,0,1,0,0,2.839287356,1.835216432,28.51,27.7,0,no,no,no,no,0
WDF105,04/10/2011,WDF10540820,1,0,1,0,0,4.00378442,2.839287356,28.44,28.51,0.2,no,no,no,no,0
WDF105,05/10/2011,WDF10540821,1,0,1,0,0,5.254615584,4.00378442,29.55,28.44,0,no,no,no,no,0
WDF105,06/10/2011,WDF10540822,1,0,1,0,0,6.51671712,5.254615584,29.28,29.55,0,no,no,no,no,0
WDF105,07/10/2011,WDF10540823,1,0,1,1,0,7.730564893,6.51671712,29.69,29.28,0,no,no,no,no,0
WDF105,08/10/2011,WDF10540824,1,0,1,1,1,8.872193237,7.730564893,27.19,29.69,0,no,no,no,no,100.8
WDF105,09/10/2011,WDF10540825,1,0,1,1,0,9.905459497,8.872193237,26.75,27.19,0,no,no,no,no,0
WDF105,10/10/2011,WDF10540826,1,0,1,0,0,10.77650371,9.905459497,27.36,26.75,5.5,no,no,no,no,0
WDF105,11/10/2011,WDF10540827,1,0,1,0,0,11.16276182,10.77650371,26.24,27.36,0.2,no,no,no,no,0
WDF105,12/10/2011,WDF10540828,0,0,0,1,0,10.98864724,11.16276182,25.97,26.24,0.3,no,no,no,no,0
WDF105,13/10/2011,WDF10540829,1,0,1,1,1,10.06307971,10.98864724,26.86,25.97,1.4,no,no,no,no,153.6
WDF105,14/10/2011,WDF10540830,1,0,1,0,0,8.842318138,10.06307971,25.22,26.86,2.1,no,no,no,no,0
WDF105,15/10/2011,WDF10540831,1,0,1,0,0,7.513791484,8.842318138,21.95,25.22,0,no,no,no,no,0
WDF105,16/10/2011,WDF10540832,1,0,1,0,0,6.144016955,7.513791484,25.42,21.95,0,no,no,no,no,0
WDF105,17/10/2011,WDF10540833,1,0,1,0,0,4.805453921,6.144016955,26.12,25.42,17,no,no,no,no,0
WDF105,18/10/2011,WDF10540834,1,0,1,0,0,3.568111578,4.805453921,25.88,26.12,0,no,no,no,no,0
WDF105,19/10/2011,WDF10540835,1,0,1,0,0,2.479815823,3.568111578,23.76,25.88,3.2,no,no,no,no,0
WDF105,20/10/2011,WDF10540836,1,0,1,0,0,1.589673625,2.479815823,22.27,23.76,0.4,no,no,no,no,0
WDF105,21/10/2011,WDF10540837,0,0,1,0,0,0.908970293,1.589673625,24.11,22.27,21.9,no,no,no,no,0
WDF105,22/10/2011,WDF10540838,1,0,1,0,0,0.439527745,0.908970293,26.7,24.11,0,no,no,no,no,0
WDF105,23/10/2011,WDF10540839,1,0,1,0,0,0.159736494,0.439527745,27.01,26.7,0,no,no,no,no,0
WDF105,24/10/2011,WDF10540840,1,0,1,0,0,0.032305154,0.159736494,27.61,27.01,0,no,no,no,no,0
WDF105,25/10/2011,WDF10540841,1,0,1,0,0,0.000908424,0.032305154,26.42,27.61,2,no,no,no,no,0
WDF105,26/10/2011,WDF10540842,1,0,0,0,0,0,0.000908424,25.82,26.42,0,no,no,no,no,0
WDF105,27/10/2011,WDF10540843,1,0,1,0,0,0.011207338,0,26.5,25.82,0,no,no,no,no,0
WDF105,28/10/2011,WDF10540844,0,0,1,0,0,0.121814513,0.011207338,26.73,26.5,25.2,yes,no,no,no,0
WDF105,29/10/2011,WDF10540845,1,0,1,0,0,0.394531757,0.121814513,25.08,26.73,26.8,yes,no,no,no,0
WDF105,30/10/2011,WDF10540846,1,0,1,0,0,0.869193122,0.394531757,NA,25.08,1.1,yes,yes,no,yes,0
WDF105,31/10/2011,WDF10540847,1,0,1,0,0,1.551157151,0.869193122,26.2,NA,31.8,yes,no,no,no,0
WDF105,01/11/2011,WDF10540848,1,0,1,0,0,2.416323215,1.551157151,26.57,26.2,2.6,yes,no,no,no,0
WDF105,02/11/2011,WDF10540849,1,0,1,0,0,3.416022941,2.416323215,27.48,26.57,12.3,yes,no,no,no,0
WDF105,03/11/2011,WDF10540850,0,1,0,0,0,4.512844348,3.416022941,26.54,27.48,27,yes,yes,no,yes,0
WDF105,04/11/2011,WDF10540851,1,0,0,0,0,5.657194788,4.512844348,25.97,26.54,0.2,yes,no,no,no,0
WDF105,05/11/2011,WDF10540852,0,0,0,0,0,6.816399506,5.657194788,25.75,25.97,12.2,yes,yes,yes,no,0
WDF105,06/11/2011,WDF10540853,1,0,1,0,0,7.949058461,6.816399506,25.83,25.75,0,yes,no,no,no,0
WDF105,07/11/2011,WDF10540854,0,0,1,0,0,9.031141752,7.949058461,27.11,25.83,0.8,yes,no,no,no,0
WDF105,08/11/2011,WDF10540855,1,1,1,0,0,10.05431861,9.031141752,27.06,27.11,0.2,yes,no,no,no,0
WDF105,09/11/2011,WDF10540856,0,0,1,1,1,10.95374347,10.05431861,24.88,27.06,3.6,yes,yes,yes,no,52.8
WDF105,10/11/2011,WDF10540857,0,0,1,0,0,11.13854189,10.95374347,24.7,24.88,0,yes,yes,yes,no,0
WDF105,11/11/2011,WDF10540858,1,0,1,1,1,10.81780793,11.13854189,25.39,24.7,2.4,yes,yes,no,yes,43.2
WDF105,12/11/2011,WDF10540859,1,1,1,0,0,9.611353522,10.81780793,24.67,25.39,9.4,yes,no,no,no,0
WDF105,13/11/2011,WDF10540860,1,0,1,0,0,8.277031971,9.611353522,23.41,24.67,3.4,yes,no,no,no,0
WDF105,14/11/2011,WDF10540861,1,0,1,0,0,6.870115448,8.277031971,24.27,23.41,0,yes,no,no,no,0
WDF105,15/11/2011,WDF10540862,1,0,1,0,0,5.479959914,6.870115448,24.21,24.27,0,yes,yes,no,yes,0
WDF105,16/11/2011,WDF10540863,1,0,1,0,0,4.163232917,5.479959914,24.12,24.21,4,yes,yes,no,yes,0
WDF105,17/11/2011,WDF10540864,0,0,1,0,0,2.984472858,4.163232917,24.31,24.12,0.4,yes,no,no,no,0
WDF105,18/11/2011,WDF10540865,1,0,1,0,0,1.98195573,2.984472858,22.97,24.31,2.5,yes,no,no,no,0
WDF105,19/11/2011,WDF10540866,1,0,1,0,0,1.190767655,1.98195573,24.52,22.97,0,yes,no,no,no,0
WDF105,20/11/2011,WDF10540867,0,0,1,0,0,0.619514735,1.190767655,24.24,24.52,0,yes,yes,yes,no,0
WDF105,21/11/2011,WDF10540868,1,0,1,0,0,0.253806628,0.619514735,26.3,24.24,0,yes,yes,yes,no,0
WDF105,22/11/2011,WDF10540869,1,0,1,0,0,0.066579514,0.253806628,25.66,26.3,0,yes,no,no,no,0
WDF105,23/11/2011,WDF10540870,0,1,1,1,1,0.004913115,0.066579514,25.28,25.66,0,yes,no,no,no,91.2
WDF105,24/11/2011,WDF10540871,0,0,0,0,0,0,0.004913115,25.83,25.28,10.2,yes,yes,yes,no,0
WDF105,25/11/2011,WDF10540872,0,1,1,0,0,0,0,24.07,25.83,12.1,yes,no,no,no,0
WDF105,26/11/2011,WDF10540873,0,1,0,1,1,0.067655258,0,23.37,24.07,53.3,yes,yes,yes,yes,72
WDF105,27/11/2011,WDF10540874,0,0,1,0,0,0.263198378,0.067655258,NA,23.37,3.2,yes,yes,yes,no,0
WDF105,28/11/2011,WDF10540875,0,1,1,0,1,0.622645594,0.263198378,24.82,NA,9.3,yes,yes,yes,no,67.2
WDF105,29/11/2011,WDF10540876,1,0,1,0,0,1.149324104,0.622645594,24.98,24.82,0,yes,no,no,no,0
WDF105,30/11/2011,WDF10540877,0,1,1,0,0,1.836539292,1.149324104,24.38,24.98,33.6,yes,yes,yes,no,0
WDF105,01/12/2011,WDF10540878,0,1,0,0,0,2.661983276,1.836539292,24.08,24.38,1.5,yes,yes,yes,no,0
WDF105,02/12/2011,WDF10540879,0,0,1,0,0,3.594225859,2.661983276,24.38,24.08,35.2,yes,yes,yes,no,0
WDF105,03/12/2011,WDF10540880,1,1,1,0,0,4.613823236,3.594225859,23.81,24.38,0.2,yes,no,no,no,0
WDF105,04/12/2011,WDF10540881,1,0,1,0,0,5.697023173,4.613823236,24.93,23.81,0,yes,yes,no,yes,0
WDF105,05/12/2011,WDF10540882,1,0,1,0,0,6.831567757,5.697023173,23.88,24.93,0,yes,yes,no,yes,0
WDF105,06/12/2011,WDF10540883,1,0,1,0,0,7.974261216,6.831567757,23.91,23.88,3,yes,no,no,no,0
WDF105,07/12/2011,WDF10540884,1,0,1,0,0,9.096260431,7.974261216,24.29,23.91,0,yes,yes,no,yes,0
WDF105,08/12/2011,WDF10540885,0,0,1,0,0,10.17145417,9.096260431,24.25,24.29,0,yes,no,no,no,0
WDF105,09/12/2011,WDF10540886,1,0,1,0,0,11.13895685,10.17145417,23.74,24.25,0,yes,no,no,no,0
WDF105,10/12/2011,WDF10540887,0,0,1,0,0,11.08117028,11.13895685,23.81,23.74,0,yes,yes,yes,no,0
WDF105,11/12/2011,WDF10540888,1,0,1,0,0,10.44136347,11.08117028,24.52,23.81,0,yes,no,no,no,0
WDF105,12/12/2011,WDF10540889,1,1,1,0,0,9.141949455,10.44136347,24.45,24.52,0,yes,no,no,no,0
WDF105,13/12/2011,WDF10540890,1,0,1,0,0,7.737152739,9.141949455,24.62,24.45,0,yes,no,no,no,0
WDF105,14/12/2011,WDF10540891,1,0,1,0,0,6.299001483,7.737152739,24.75,24.62,0,yes,no,no,no,0
WDF109,07/01/2011,WDF10940550,0,0,1,0,0,0.360229701,6.299001483,NA,24.75,NA,no,no,no,no,0
WDF109,08/01/2011,WDF10940551,1,0,0,0,0,0.688835628,0.360229701,NA,NA,NA,no,no,no,no,0
WDF109,09/01/2011,WDF10940552,1,0,1,0,0,1.139033765,0.688835628,NA,NA,NA,no,no,no,no,0
WDF109,10/01/2011,WDF10940553,0,0,0,1,0,1.730944533,1.139033765,NA,NA,NA,no,no,no,no,0
WDF109,11/01/2011,WDF10940554,1,0,1,0,0,2.47793949,1.730944533,NA,NA,NA,no,no,no,no,0
WDF109,12/01/2011,WDF10940555,0,0,1,0,0,3.370627647,2.47793949,NA,NA,NA,no,no,no,no,0
WDF109,13/01/2011,WDF10940556,1,1,1,0,0,4.426844119,3.370627647,NA,NA,NA,no,no,no,no,0
WDF109,14/01/2011,WDF10940557,1,0,0,0,0,5.625634652,4.426844119,NA,NA,NA,no,no,no,no,0
WDF109,15/01/2011,WDF10940558,1,0,1,1,1,6.9445731,5.625634652,NA,NA,NA,no,no,no,no,206.4
WDF109,16/01/2011,WDF10940559,1,0,0,0,0,8.315550171,6.9445731,NA,NA,NA,no,no,no,no,0
WDF109,17/01/2011,WDF10940560,1,0,0,1,1,9.64413567,8.315550171,NA,NA,NA,no,no,no,no,24
WDF109,18/01/2011,WDF10940561,1,0,1,1,1,10.81314294,9.64413567,NA,NA,NA,no,no,no,no,129.6
WDF109,19/01/2011,WDF10940562,1,0,0,1,1,11.11143705,10.81314294,NA,NA,NA,no,no,no,no,225.6
WDF109,20/01/2011,WDF10940563,0,0,0,0,0,10.63834306,11.11143705,NA,NA,NA,no,no,no,no,0
WDF109,21/01/2011,WDF10940564,1,0,0,1,1,9.246780046,10.63834306,NA,NA,NA,no,no,no,no,139.2
WDF109,22/01/2011,WDF10940565,1,0,1,1,1,7.749690434,9.246780046,NA,NA,NA,no,no,no,no,264
WDF109,23/01/2011,WDF10940566,1,0,0,0,0,6.231086891,7.749690434,NA,NA,NA,no,no,no,no,0
WDF109,24/01/2011,WDF10940567,0,0,1,1,1,4.773267916,6.231086891,NA,NA,NA,no,no,no,no,124.8
WDF109,25/01/2011,WDF10940568,0,0,0,1,0,3.449948139,4.773267916,NA,NA,NA,no,no,no,no,0
WDF109,26/01/2011,WDF10940569,1,0,0,1,1,2.321888488,3.449948139,NA,NA,NA,no,no,no,no,139.2
WDF109,27/01/2011,WDF10940570,0,0,0,0,0,1.422270295,2.321888488,NA,NA,NA,no,no,no,no,0
WDF109,28/01/2011,WDF10940571,0,0,0,0,0,0.771601643,1.422270295,NA,NA,NA,no,no,no,no,0
WDF109,29/01/2011,WDF10940572,0,0,0,0,0,0.350641466,0.771601643,NA,NA,NA,no,no,no,no,0
WDF109,30/01/2011,WDF10940573,0,0,0,0,0,0.121126052,0.350641466,NA,NA,NA,no,no,no,no,0
WDF109,31/01/2011,WDF10940574,0,0,0,0,0,0.024099997,0.121126052,NA,NA,NA,no,no,no,no,0
WDF109,01/02/2011,WDF10940575,0,0,0,0,0,0.00086171,0.024099997,NA,NA,NA,no,no,no,no,0
WDF109,02/02/2011,WDF10940576,0,0,0,0,0,0,0.00086171,NA,NA,NA,no,no,no,no,0
WDF109,03/02/2011,WDF10940577,0,0,0,0,0,0.000237819,0,NA,NA,NA,no,no,no,no,0
WDF109,04/02/2011,WDF10940578,0,0,0,0,0,0.041616773,0.000237819,NA,NA,NA,no,no,no,no,0
WDF109,05/02/2011,WDF10940579,0,0,0,0,0,0.149886186,0.041616773,NA,NA,NA,no,no,no,no,0
WDF109,06/02/2011,WDF10940580,0,0,0,0,0,0.354398531,0.149886186,NA,NA,NA,no,no,no,no,0
WDF109,07/02/2011,WDF10940581,0,0,0,0,0,0.682890044,0.354398531,NA,NA,NA,no,no,no,no,0
WDF109,08/02/2011,WDF10940582,0,0,0,0,0,1.15319583,0.682890044,NA,NA,NA,no,no,no,no,0
WDF109,09/02/2011,WDF10940583,0,0,0,0,0,1.79878819,1.15319583,NA,NA,NA,no,no,no,no,0
WDF109,10/02/2011,WDF10940584,0,0,0,0,0,2.636758819,1.79878819,NA,NA,NA,no,no,no,no,0
WDF109,11/02/2011,WDF10940585,0,0,0,0,0,3.682344528,2.636758819,NA,NA,NA,no,no,no,no,0
WDF109,12/02/2011,WDF10940586,0,0,0,0,0,4.909723046,3.682344528,NA,NA,NA,no,no,no,no,0
WDF109,13/02/2011,WDF10940587,0,0,0,0,0,6.274113229,4.909723046,NA,NA,NA,no,no,no,no,0
