Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,StopTime_Previous,Pack,Dusk,Dawn,Moonlight,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Rainfall,n
97,WDM97,39193,0.45,27,30,39193,40655,0.575,39193.45,WDM9740655,39193.575,62.4,4405,39193.575,39193,0.575,Start,70.59295,Daytime,0.618333333,39193.55486,Rat,40655.25486,40655.78889,4.87838656,no,no,no,No,NA,NA,1
120,WDF120,41885,0.538194444,10,14,41885,41885,0.663194444,41885.53819,WDF12041885,41885.66319,145,9777,41885.66319,41885,0.663194444,Start,67.42759,Daytime,0.763888889,41885.625,Tuis,41885.25625,41885.78958,5.098885484,no,no,no,Yes,26.72,0,1
132,WDM132,42168,0.510416667,5,0,42168,42168,0.635416667,42168.51042,WDM13242168,42168.63542,210,13326,42168.63542,42168,0.635416667,Start,63.45714,Daytime,0.78125,42168.61458,Bahatis,42168.25486,42168.79167,0.07803732,no,no,no,No,28.25,0,1
130,WDM130,41946,0.541666667,22,26,41946,41946,0.666666667,41946.54167,WDM13041946,41946.66667,155,9792,41946.66667,41946,0.666666667,Start,63.17419,Daytime,0.774305556,41946.64583,Ol Pejeta,41946.24444,41946.77847,8.663159139,no,no,no,No,26.6,0,1
130,WDM130,41969,0.284722222,2,2,41969,41969,0.409722222,41969.28472,WDM13041969,41969.40972,295,18618,41969.40972,41969,0.409722222,Start,63.11186,Daytime,0.614583333,41969.39931,Ol Pejeta,41969.24653,41969.78194,0.94848909,no,no,no,No,28.24,0,1
97,WDM97,39199,0.46,76,71,39199,40661,0.585,39199.45972,WDM9740661,39199.58472,91.2,5655,39199.58472,39199,0.585,Start,62.00658,Daytime,0.648333333,39199.57153,Rat,40661.25417,40661.78889,0.345882433,no,no,no,No,26.54,1.6,1
136,WDM136,42638,0.493055556,73,81,42638,42638,0.618055556,42638.49306,WDM13642638,42638.61806,95,5845,42638.61806,42638,0.618055556,Start,61.52632,Daytime,0.684027778,42638.60417,Macho,42638.25069,42638.78403,0.647417381,no,no,no,No,30.17,0,1
130,WDM130,41943,0.486111111,146,179,41943,41943,0.611111111,41943.48611,WDM13041943,41943.61111,245,15004,41943.61111,41943,0.611111111,Start,61.24082,Daytime,0.78125,41943.59375,Ol Pejeta,41943.24444,41943.77847,4.398020316,no,no,no,No,25.32,0,1
132,WDM132,42158,0.465277778,25,22,42158,42158,0.590277778,42158.46528,WDM13242158,42158.59028,235,14190,42158.59028,42158,0.590277778,Start,60.38298,Daytime,0.753472222,42158.57986,Bahatis,42158.25347,42158.79028,10.34610323,no,no,no,No,26.43,0,1
130,WDM130,41902,0.506944444,9,12,41902,41902,0.631944444,41902.50694,WDM13041902,41902.63194,75,4283,41902.63194,41902,0.631944444,Start,57.10667,Daytime,0.684027778,41902.61458,Ol Pejeta,41902.25208,41902.78542,0.143619075,no,no,no,No,27.95,0,1
130,WDM130,42051,0.385416667,31,33,42051,42051,0.510416667,42051.38542,WDM13042051,42051.51042,55,3041,42051.51042,42051,0.510416667,Start,55.29091,Daytime,0.548611111,42051.48611,Ol Pejeta,42051.26597,42051.8,0.045093895,no,no,no,No,31.29,0.25,1
97,WDM97,39206,0.48,28,30,39206,40668,0.605,39206.47986,WDM9740668,39206.60486,187.2,10232,39206.60486,39206,0.605,Start,54.65812,Daytime,0.735,39206.58472,Rat,40668.25347,40668.78819,0.14371696,no,no,no,No,27.47,10.2,1
97,WDM97,39199,0.533333333,59,55,39199,40661,0.658333333,39199.53333,WDM9740661,39199.65833,28.8,1560,39199.65833,39199,0.658333333,Start,54.16667,Daytime,0.678333333,39199.64792,Rat,40661.25417,40661.78889,0.345882433,no,no,no,No,26.54,1.6,1
105,WDF105,39415,0.276666667,21,23,39415,40877,0.401666667,39415.27639,WDF10540877,39415.40139,201.6,10879,39415.40139,39415,0.401666667,Start,53.96329,Daytime,0.541666667,39415.36458,Loisaba,40877.24792,40877.78264,1.836539292,yes,yes,no,Yes,24.38,33.6,1
130,WDM130,41926,0.489583333,2,2,41926,41926,0.614583333,41926.48958,WDM13041926,41926.61458,110,5914,41926.61458,41926,0.614583333,Start,53.76364,Daytime,0.690972222,41926.60417,Ol Pejeta,41926.24653,41926.77986,3.303375031,no,no,no,No,28.01,0,1
132,WDM132,42137,0.458333333,5,8,42137,42137,0.583333333,42137.45833,WDM13242137,42137.58333,110,5902,42137.58333,42137,0.583333333,Start,53.65455,Daytime,0.659722222,42137.55208,Bahatis,42137.25278,42137.78819,0.492214535,no,no,no,No,27.9,0,1
105,WDF105,39413,0.42,126,103,39413,40875,0.545,39413.41944,WDF10540875,39413.54444,28.8,1531,39413.54444,39413,0.545,Start,53.15972,Daytime,0.565,39413.52153,Loisaba,40875.24722,40875.78264,0.622645594,yes,yes,no,Yes,24.82,9.3,1
105,WDF105,39347,0.483333333,18,14,39347,40809,0.608333333,39347.48333,WDF10540809,39347.60833,144,7455,39347.60833,39347,0.608333333,Start,51.77083,Daytime,0.708333333,39347.58819,Loisaba,40809.25139,40809.78472,0.313494217,no,no,no,No,29.61,0,1
133,WDM133,42310,0.409722222,117,74,42310,42310,0.534722222,42310.40972,WDM13342310,42310.53472,255,13029,42310.53472,42310,0.534722222,Start,51.09412,Daytime,0.711805556,42310.51736,Wobbegongs,42310.24444,42310.77847,3.033865088,no,no,no,No,26.54,0.254,1
136,WDM136,42693,0.336805556,0,2,42693,42693,0.461805556,42693.33681,WDM13642693,42693.46181,205,10418,42693.46181,42693,0.461805556,Start,50.81951,Daytime,0.604166667,42693.44792,Macho,42693.24583,42693.78056,4.041722924,no,no,no,No,26.22,0,1
130,WDM130,42109,0.538194444,90,115,42109,42109,0.663194444,42109.53819,WDM13042109,42109.66319,170,8625,42109.66319,42109,0.663194444,Start,50.73529,Daytime,0.78125,42109.62847,Ol Pejeta,42109.25625,42109.79028,0.120821764,no,no,no,No,29.46,4.83,1
136,WDM136,42696,0.430555556,48,46,42696,42696,0.555555556,42696.43056,WDM13642696,42696.55556,145,7293,42696.55556,42696,0.555555556,Start,50.29655,Daytime,0.65625,42696.52083,Macho,42696.24583,42696.78125,1.255570016,no,no,no,No,26.65,0,1
96,WDF96,39573,0.496527778,1,3,39573,41035,0.621527778,39573.49653,WDF9641035,39573.62153,95,4766,39573.62153,39573,0.621527778,Start,50.16842105,Daytime,0.6875,39573.61111,Loisaba,41035.25278,41035.78819,10.83340689,no,no,no,No,30.14,0,1
130,WDM130,42112,0.489583333,54,47,42112,42112,0.614583333,42112.48958,WDM13042112,42112.61458,40,2006,42112.61458,42112,0.614583333,Start,50.15,Daytime,0.642361111,42112.59722,Ol Pejeta,42112.25556,42112.78958,0,no,no,no,No,24.43,8.64,1
105,WDF105,39393,0.52,146,123,39393,40855,0.645,39393.51944,WDF10540855,39393.64444,96,4805,39393.64444,39393,0.645,Start,50.05208,Daytime,0.711666667,39393.59167,Loisaba,40855.24444,40855.77917,10.05431861,no,no,no,Yes,27.06,0.2,1
120,WDF120,41975,0.208333333,1,1,41975,41975,0.333333333,41975.20833,WDF12041975,41975.33333,300,14972,41975.33333,41975,0.333333333,Start,49.90667,Daytime,0.541666667,41975.29167,Dispersing,41975.24792,41975.78333,7.938331171,no,no,no,No,25.53,3.05,1
130,WDM130,41944,0.493055556,172,222,41944,41944,0.618055556,41944.49306,WDM13041944,41944.61806,190,9420,41944.61806,41944,0.618055556,Start,49.57895,Daytime,0.75,41944.60764,Ol Pejeta,41944.24444,41944.77847,5.79984447,no,no,no,No,27.82,0,1
105,WDF105,39410,0.306666667,38,43,39410,40872,0.431666667,39410.30625,WDF10540872,39410.43125,326.4,16103,39410.43125,39410,0.431666667,Start,49.33517,Daytime,0.658333333,39410.42153,Loisaba,40872.24653,40872.78125,0,no,no,no,Yes,24.07,12.1,1
105,WDF105,39388,0.186666667,100,107,39388,40850,0.311666667,39388.18611,WDF10540850,39388.31111,345.6,16659,39388.31111,39388,0.311666667,Start,48.20312,Daytime,0.551666667,39388.28125,Loisaba,40850.24444,40850.77847,4.512844348,yes,no,yes,Yes,26.54,27,1
130,WDM130,41952,0.482638889,17,22,41952,41952,0.607638889,41952.48264,WDM13041952,41952.60764,70,3353,41952.60764,41952,0.607638889,Start,47.9,Daytime,0.65625,41952.56944,Ol Pejeta,41952.24444,41952.77917,7.804348392,no,no,no,No,26.51,0.25,1
136,WDM136,42855,0.4375,114,110,42855,42855,0.5625,42855.4375,WDM13642855,42855.5625,160,7662,42855.5625,42855,0.5625,Start,47.8875,Daytime,0.673611111,42855.52431,Crocodiles,42855.25347,42855.78819,1.146411659,no,no,no,No,NA,NA,1
130,WDM130,41939,0.479166667,170,144,41939,41939,0.604166667,41939.47917,WDM13041939,41939.60417,190,9084,41939.60417,41939,0.604166667,Start,47.81053,Daytime,0.736111111,41939.55208,Ol Pejeta,41939.24514,41939.77847,0.61468945,no,no,no,No,27.75,2.54,1
115,WDM115,40892,0.541666667,1,0,40892,40892,0.666666667,40892.54167,WDM11540892,40892.66667,150,7070,40892.66667,40892,0.666666667,Start,47.13333,Daytime,0.770833333,40892.65625,Toucans,42354.25208,42354.7875,4.911442486,no,no,no,No,24.31,0,1
135,WDM135,42679,0.534722222,57,67,42679,42679,0.659722222,42679.53472,WDM13542679,42679.65972,155,7148,42679.65972,42679,0.659722222,Start,46.11613,Daytime,0.767361111,42679.62847,Toucan,42679.24444,42679.77847,1.636209405,no,no,no,No,28.93,0.762,1
130,WDM130,41984,0.506944444,93,140,41984,41984,0.631944444,41984.50694,WDM13041984,41984.63194,105,4836,41984.63194,41984,0.631944444,Start,46.05714,Daytime,0.704861111,41984.61458,Ol Pejeta,41984.25069,41984.78611,5.061808344,no,no,no,No,25.8,0,1
132,WDM132,42125,0.482638889,3,5,42125,42125,0.607638889,42125.48264,WDM13242125,42125.60764,105,4824,42125.60764,42125,0.607638889,Start,45.94286,Daytime,0.680555556,42125.59375,Bahatis,42125.25347,42125.78819,9.811880292,no,no,no,No,26.01,0.1,1
132,WDM132,42138,0.263888889,34,32,42138,42138,0.388888889,42138.26389,WDM13242138,42138.38889,220,9956,42138.38889,42138,0.388888889,Start,45.25455,Daytime,0.541666667,42138.37847,Bahatis,42138.25278,42138.78819,0.182207893,no,no,no,No,27.49,0,1
133,WDM133,42308,0.520833333,47,32,42308,42308,0.645833333,42308.52083,WDM13342308,42308.64583,40,1796,42308.64583,42308,0.645833333,Start,44.9,Daytime,0.673611111,42308.63194,Wobbegongs,42308.24444,42308.77847,5.451979453,no,no,no,No,26.63,0.762,1
112,WDM112,39651,0.472222222,1,1,39651,41113,0.597222222,39651.47222,WDM11241113,39651.59722,90,3980,39651.59722,39651,0.597222222,Start,44.22222,Daytime,0.659722222,39651.5625,Tuis,41113.25972,41113.79514,0.906598822,no,no,no,No,27.13,0,1
130,WDM130,41919,0.538194444,73,132,41919,41919,0.663194444,41919.53819,WDM13041919,41919.66319,65,2852,41919.66319,41919,0.663194444,Start,43.87692,Daytime,0.708333333,41919.59375,Ol Pejeta,41919.24792,41919.78125,11.19255992,no,no,no,No,26.35,0,1
105,WDF105,39416,0.24,225,208,39416,40878,0.365,39416.23958,WDF10540878,39416.36458,249.6,10943,39416.36458,39416,0.365,Start,43.84215,Daytime,0.538333333,39416.31111,Loisaba,40878.24792,40878.78333,2.661983276,yes,yes,no,Yes,24.08,1.5,1
133,WDM133,42282,0.53125,62,75,42282,42282,0.65625,42282.53125,WDM13342282,42282.65625,85,3717,42282.65625,42282,0.65625,Start,43.72941,Daytime,0.715277778,42282.62153,Wobbegongs,42282.24861,42282.78194,1.645026742,no,no,no,No,24.95,5.08,1
132,WDM132,42156,0.513888889,14,10,42156,42156,0.638888889,42156.51389,WDM13242156,42156.63889,185,7959,42156.63889,42156,0.638888889,Start,43.02162,Daytime,0.767361111,42156.57639,Bahatis,42156.25347,42156.79028,11.06470502,no,no,no,No,26.01,39.1,1
130,WDM130,42086,0.440972222,255,255,42086,42086,0.565972222,42086.44097,WDM13042086,42086.56597,110,4721,42086.56597,42086,0.565972222,Start,42.91818,Daytime,0.642361111,42086.47917,Ol Pejeta,42086.26111,42086.79444,0.545687039,no,no,no,No,NA,0,1
136,WDM136,42579,0.482638889,74,104,42579,42579,0.607638889,42579.48264,WDM13642579,42579.60764,40,1689,42579.60764,42579,0.607638889,Start,42.225,Daytime,0.635416667,42579.59375,Macho,42579.25972,42579.79514,0.859540878,no,no,no,No,30.98,2.794,1
133,WDM133,42299,0.541666667,7,11,42299,42299,0.666666667,42299.54167,WDM13342299,42299.66667,145,6115,42299.66667,42299,0.666666667,Start,42.17241,Daytime,0.767361111,42299.64236,Wobbegongs,42299.24514,42299.77917,6.207147103,no,no,no,No,30.07,0,1
130,WDM130,41959,0.402777778,162,231,41959,41959,0.527777778,41959.40278,WDM13041959,41959.52778,30,1263,41959.52778,41959,0.527777778,Start,42.1,Daytime,0.548611111,41959.49306,Ol Pejeta,41959.24514,41959.77986,0.926948034,no,no,no,No,25.7,0,1
132,WDM132,42173,0.243055556,8,6,42173,42173,0.368055556,42173.24306,WDM13242173,42173.36806,310,12937,42173.36806,42173,0.368055556,Start,41.73226,Daytime,0.583333333,42173.34375,Bahatis,42173.25556,42173.79236,0.142558772,no,no,no,No,26.75,0,1
120,WDF120,41881,0.423611111,51,57,41881,41881,0.548611111,41881.42361,WDF12041881,41881.54861,185,7710,41881.54861,41881,0.548611111,Start,41.67568,Daytime,0.677083333,41881.51736,Tuis,41881.25694,41881.79097,0.998941154,yes,no,yes,Yes,28.73,1.27,1
130,WDM130,41946,0.440972222,18,21,41946,41946,0.565972222,41946.44097,WDM13041946,41946.56597,115,4774,41946.56597,41946,0.565972222,Start,41.51304,Daytime,0.645833333,41946.55208,Ol Pejeta,41946.24444,41946.77847,8.663159139,no,no,no,No,26.6,0,1
136,WDM136,42679,0.454861111,27,31,42679,42679,0.579861111,42679.45486,WDM13642679,42679.57986,290,11966,42679.57986,42679,0.579861111,Start,41.26207,Daytime,0.78125,42679.48264,Macho,42679.24444,42679.77847,1.636209405,no,no,no,No,28.93,0.762,1
130,WDM130,42067,0.465277778,8,4,42067,42067,0.590277778,42067.46528,WDM13042067,42067.59028,150,6143,42067.59028,42067,0.590277778,Start,40.95333,Daytime,0.694444444,42067.56597,Ol Pejeta,42067.26458,42067.79792,11.10990056,no,no,no,No,29.27,0,1
133,WDM133,42295,0.388888889,2,5,42295,42295,0.513888889,42295.38889,WDM13342295,42295.51389,55,2250,42295.51389,42295,0.513888889,Start,40.90909,Daytime,0.552083333,42295.49306,Wobbegongs,42295.24583,42295.77917,1.520046487,no,no,no,No,28.52,0,1
126,WDF126,41942,0.388888889,21,27,41942,41942,0.513888889,41942.38889,WDF12641942,41942.51389,140,5488,41942.51389,41942,0.513888889,Start,39.2,Daytime,0.611111111,41942.48611,Katu,41942.24444,41942.77847,3.120791875,no,no,no,Yes,24.35,6.6,1
130,WDM130,42103,0.434027778,41,35,42103,42103,0.559027778,42103.43403,WDM13042103,42103.55903,155,6043,42103.55903,42103,0.559027778,Start,38.9871,Daytime,0.666666667,42103.53472,Ol Pejeta,42103.25694,42103.79097,4.952693322,no,no,no,No,28.68,0,1
136,WDM136,42857,0.413194444,94,89,42857,42857,0.538194444,42857.41319,WDM13642857,42857.53819,125,4857,42857.53819,42857,0.538194444,Start,38.856,Daytime,0.625,42857.50347,Crocodiles,42857.25347,42857.78819,3.002683121,no,no,no,No,NA,NA,1
130,WDM130,42074,0.4375,22,22,42074,42074,0.5625,42074.4375,WDM13042074,42074.5625,160,6188,42074.5625,42074,0.5625,Start,38.675,Daytime,0.673611111,42074.54861,Ol Pejeta,42074.26319,42074.79653,4.439902376,no,no,no,No,NA,0,1
126,WDF126,41935,0.416666667,83,77,41935,41935,0.541666667,41935.41667,WDF12641935,41935.54167,65,2510,41935.54167,41935,0.541666667,Start,38.61538,Daytime,0.586805556,41935.52431,Katu,41935.24514,41935.77917,0,no,no,no,Yes,25.53,11.68,1
132,WDM132,42121,0.395833333,0,1,42121,42121,0.520833333,42121.39583,WDM13242121,42121.52083,40,1543,42121.52083,42121,0.520833333,Start,38.575,Daytime,0.548611111,42121.50694,Bahatis,42121.25417,42121.78889,5.282313911,no,no,no,No,27.75,14.73,1
119,WDM119,41766,0.496527778,72,64,41766,41766,0.621527778,41766.49653,WDM11941766,41766.62153,60,2306,41766.62153,41766,0.621527778,Start,38.43333,Daytime,0.663194444,41766.58681,Crocodiles,41766.25278,41766.78819,4.04026651,no,no,no,No,NA,0,1
130,WDM130,41877,0.486111111,63,40,41877,41877,0.611111111,41877.48611,WDM13041877,41877.61111,100,3801,41877.61111,41877,0.611111111,Start,38.01,Daytime,0.680555556,41877.59375,Ol Pejeta,41877.25764,41877.79167,0.007376151,no,no,no,No,28.26,2.29,1
132,WDM132,42165,0.430555556,96,83,42165,42165,0.555555556,42165.43056,WDM13242165,42165.55556,300,11395,42165.55556,42165,0.555555556,Start,37.98333,Daytime,0.763888889,42165.53819,Bahatis,42165.25417,42165.79097,1.24749562,no,no,no,No,26.58,0,1
135,WDM135,42579,0.375,19,21,42579,42579,0.5,42579.375,WDM13542579,42579.5,160,6028,42579.5,42579,0.5,Start,37.675,Daytime,0.611111111,42579.48611,Toucan,42579.25972,42579.79514,0.859540878,no,no,no,No,30.98,2.794,1
132,WDM132,42136,0.364583333,30,31,42136,42136,0.489583333,42136.36458,WDM13242136,42136.48958,155,5768,42136.48958,42136,0.489583333,Start,37.2129,Daytime,0.597222222,42136.46875,Bahatis,42136.25278,42136.78819,1.01479097,no,no,no,No,27.36,48.1,1
130,WDM130,42051,0.517361111,52,103,42051,42051,0.642361111,42051.51736,WDM13042051,42051.64236,60,2228,42051.64236,42051,0.642361111,Start,37.13333,Daytime,0.684027778,42051.61111,Ol Pejeta,42051.26597,42051.8,0.045093895,no,no,no,No,31.29,0.25,1
119,WDM119,41748,0.472222222,255,147,41748,41748,0.597222222,41748.47222,WDM11941748,41748.59722,60,2217,41748.59722,41748,0.597222222,Start,36.95,Daytime,0.638888889,41748.55903,Crocodiles,41748.25486,41748.78958,5.442248161,no,no,no,No,NA,0,1
96,WDF96,39550,0.465277778,41,51,39550,41012,0.590277778,39550.46528,WDF9641012,39550.59028,100,3688,39550.59028,39550,0.590277778,Start,36.88,Daytime,0.659722222,39550.57986,Loisaba,41012.25625,41012.79028,2.007709612,no,no,no,No,NA,2.29,1
133,WDM133,42302,0.427083333,10,14,42302,42302,0.552083333,42302.42708,WDM13342302,42302.55208,45,1652,42302.55208,42302,0.552083333,Start,36.71111,Daytime,0.583333333,42302.53472,Wobbegongs,42302.24514,42302.77847,10.34136066,no,no,no,No,27.58,1.016,1
126,WDF126,42216,0.479166667,12,7,42216,42216,0.604166667,42216.47917,WDF12642216,42216.60417,85,3115,42216.60417,42216,0.604166667,Start,36.64706,Daytime,0.663194444,42216.57639,Toucans,42216.25972,42216.79514,10.9898548,no,no,no,No,26.01,0,1
132,WDM132,42167,0.440972222,5,8,42167,42167,0.565972222,42167.44097,WDM13242167,42167.56597,260,9467,42167.56597,42167,0.565972222,Start,36.41154,Daytime,0.746527778,42167.53819,Bahatis,42167.25417,42167.79167,0.272108985,no,no,no,No,26.75,0,1
119,WDM119,41589,0.520833333,103,170,41589,41589,0.645833333,41589.52083,WDM11941589,41589.64583,75,2705,41589.64583,41589,0.645833333,Start,36.06667,Daytime,0.697916667,41589.58333,Loisaba,41589.24514,41589.77917,5.327518019,no,no,no,No,26.49,18.03,1
136,WDM136,42858,0.461805556,55,47,42858,42858,0.586805556,42858.46181,WDM13642858,42858.58681,55,1975,42858.58681,42858,0.586805556,Start,35.90909,Daytime,0.625,42858.57292,Crocodiles,42858.25347,42858.78819,4.189812038,no,no,no,No,NA,NA,1
97,WDM97,39210,0.443333333,222,143,39210,40672,0.568333333,39210.44306,WDM9740672,39210.56806,100.8,3611,39210.56806,39210,0.568333333,Start,35.82341,Daytime,0.638333333,39210.54167,Rat,40672.25278,40672.78819,2.434613361,no,no,no,No,26.42,0,1
126,WDF126,41935,0.472222222,46,83,41935,41935,0.597222222,41935.47222,WDF12641935,41935.59722,55,1955,41935.59722,41935,0.597222222,Start,35.54545,Daytime,0.635416667,41935.58681,Katu,41935.24514,41935.77917,0,no,no,no,Yes,25.53,11.68,1
120,WDF120,41903,0.416666667,36,63,41903,41903,0.541666667,41903.41667,WDF12041903,41903.54167,35,1243,41903.54167,41903,0.541666667,Start,35.51429,Daytime,0.565972222,41903.50694,Tuis,41903.25139,41903.78472,0.03922801,no,no,no,Yes,28.32,0,1
123,WDF123,41998,0.34375,2,1,41998,41998,0.46875,41998.34375,WDF12341998,41998.46875,115,4081,41998.46875,41998,0.46875,Start,35.48696,Daytime,0.548611111,41998.45833,Crocodiles,41998.25486,41998.79097,0.68582003,no,no,no,No,28.61,5.33,1
130,WDM130,41889,0.489583333,5,10,41889,41889,0.614583333,41889.48958,WDM13041889,41889.61458,225,7910,41889.61458,41889,0.614583333,Start,35.15556,Daytime,0.770833333,41889.60417,Ol Pejeta,41889.25486,41889.78889,10.65171741,no,no,no,No,23.47,0,1
119,WDM119,41863,0.413194444,41,49,41863,41863,0.538194444,41863.41319,WDM11941863,41863.53819,35,1218,41863.53819,41863,0.538194444,Start,34.8,Daytime,0.5625,41863.51389,Crocodiles,41863.25903,41863.79444,8.983245286,yes,no,yes,Yes,25.66,0,1
132,WDM132,42152,0.430555556,6,5,42152,42152,0.555555556,42152.43056,WDM13242152,42152.55556,180,6244,42152.55556,42152,0.555555556,Start,34.68889,Daytime,0.680555556,42152.51042,Bahatis,42152.25278,42152.78958,6.643449965,no,no,no,No,28.42,0.4,1
120,WDF120,41866,0.479166667,130,164,41866,41866,0.604166667,41866.47917,WDF12041866,41866.60417,75,2597,41866.60417,41866,0.604166667,Start,34.62667,Daytime,0.65625,41866.52778,Tuis,41866.25903,41866.79375,4.583371423,no,no,no,No,26.49,0,1
120,WDF120,41950,0.541666667,115,102,41950,41950,0.666666667,41950.54167,WDF12041950,41950.66667,165,5701,41950.66667,41950,0.666666667,Start,34.55152,Daytime,0.78125,41950.62847,Dispersing,41950.24444,41950.77917,10.50810876,no,no,no,No,25.05,0.51,1
132,WDM132,42137,0.309027778,17,12,42137,42137,0.434027778,42137.30903,WDM13242137,42137.43403,170,5853,42137.43403,42137,0.434027778,Start,34.42941,Daytime,0.552083333,42137.41319,Bahatis,42137.25278,42137.78819,0.492214535,no,no,no,No,27.9,0,1
133,WDM133,42309,0.215277778,34,25,42309,42309,0.340277778,42309.21528,WDM13342309,42309.34028,485,16678,42309.34028,42309,0.340277778,Start,34.38763,Daytime,0.677083333,42309.31944,Wobbegongs,42309.24444,42309.77847,4.152507907,no,no,no,No,28.14,7.62,1
