Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalDate3,Actual_date,Next_actual_date,LocalTime,timedate,conc,timedate.local,Duration,SumAct,Radiation,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay3,partofday,Stop.time.or.start,Date stop,time_date_stop,StopTime_Previous,Pack,Time Dawn,Dawn,Dusk,Dawn2,Time Dusk,Moonlight,Denning,Temperature,Rainfall,Midnight,Nightstart,Nightend,try
132,WDM132,19/05/2015,13:05:00,5,4,19/05/2015,20/05/2015,20/05/2019,19/05/2015,20/05/2015,16:05:00,19/05/2015 13:05,WDM13242143,19/05/2015 16:05,290,12451,23.98453,19/05/2015 16:05,19/05/2015,16:05:00,Start,42.93448,Evening,Evening,20:55:00,19/05/2015,19/05/2015 20:55,19/05/2015 15:50,Bahatis,6:04 AM,19/05/2015 06:04,19/05/2015 18:56,20/05/2015 06:04,6:56 PM,0.079012962,No,29.1,0.8,00:00:00,No,Yes,TRUE
132,WDM132,07/05/2015,13:10:00,65,64,07/05/2015,08/05/2015,08/05/2019,07/05/2015,08/05/2015,16:10:00,07/05/2015 13:10,WDM13242131,07/05/2015 16:10,290,14433,15.28492,07/05/2015 16:10,07/05/2015,16:10:00,Start,49.76897,Evening,Evening,21:00:00,07/05/2015,07/05/2015 21:00,07/05/2015 15:55,Bahatis,6:04 AM,07/05/2015 06:04,07/05/2015 18:55,08/05/2015 06:04,6:55 PM,6.899236947,No,25.67,17.8,00:00:00,No,Yes,TRUE
120,WDF120,22/12/2014,13:15:00,73,71,22/12/2014,23/12/2014,23/12/2018,22/12/2014,23/12/2014,16:15:00,22/12/2014 13:15,WDF12041995,22/12/2014 16:15,290,11863,22.81483,22/12/2014 16:15,22/12/2014,16:15:00,Start,40.9069,Evening,Evening,21:05:00,22/12/2014,22/12/2014 21:05,22/12/2014 15:30,Truants,6:06 AM,22/12/2014 06:06,22/12/2014 18:57,23/12/2014 06:06,6:57 PM,0.001684974,No,28.49,0,00:00:00,No,Yes,TRUE
120,WDF120,11/11/2014,13:15:00,14,16,11/11/2014,12/11/2014,12/11/2018,11/11/2014,12/11/2014,16:15:00,11/11/2014 13:15,WDF12041954,11/11/2014 16:15,285,6972,9.752293,11/11/2014 16:15,11/11/2014,16:15:00,Start,24.46316,Evening,Evening,21:00:00,11/11/2014,11/11/2014 21:00,11/11/2014 15:50,Dispersing,5:52 AM,11/11/2014 05:52,11/11/2014 18:42,12/11/2014 05:52,6:42 PM,5.199579743,No,22.44,7.37,00:00:00,No,Yes,TRUE
123,WDF123,23/09/2014,13:15:00,0,3,23/09/2014,24/09/2014,24/09/2018,23/09/2014,24/09/2014,16:15:00,23/09/2014 13:15,WDF12341905,23/09/2014 16:15,285,10404,19.99968,23/09/2014 16:15,23/09/2014,16:15:00,Start,36.50526,Evening,Evening,21:00:00,23/09/2014,23/09/2014 21:00,23/09/2014 16:00,Crocodiles,6:02 AM,23/09/2014 06:02,23/09/2014 18:50,24/09/2014 06:02,6:50 PM,0,Yes,27.61,0,00:00:00,No,Yes,TRUE
130,WDM130,29/09/2014,13:20:00,100,110,29/09/2014,30/09/2014,30/09/2018,29/09/2014,30/09/2014,16:20:00,29/09/2014 13:20,WDM13041911,29/09/2014 16:20,280,11827,24.10044,29/09/2014 16:20,29/09/2014,16:20:00,Start,42.23929,Evening,Evening,21:00:00,29/09/2014,29/09/2014 21:00,29/09/2014 15:55,Ol Pejeta,6:00 AM,29/09/2014 06:00,29/09/2014 18:48,30/09/2014 06:00,6:48 PM,1.43555307,No,28.46,0,00:00:00,No,Yes,TRUE
115,WDM115,09/12/2011,13:20:00,9,5,09/12/2011,10/12/2011,10/12/2015,10/12/2015,11/12/2015,16:20:00,09/12/2011 13:20,WDM11542348,09/12/2011 16:20,280,11212,1442.799,10/12/2015 16:20,10/12/2015,16:20:00,Start,40.04286,Evening,Evening,21:00:00,10/12/2015,10/12/2015 21:00,09/12/2011 16:00,Toucans,6:00 AM,10/12/2015 06:00,10/12/2015 18:51,11/12/2015 06:00,6:51 PM,11.13895685,No,23.74,0,00:00:00,No,Yes,TRUE
119,WDM119,19/11/2013,13:10:00,37,48,19/11/2013,20/11/2013,20/11/2017,19/11/2013,20/11/2013,16:10:00,19/11/2013 13:10,WDM11941597,19/11/2013 16:10,275,6044,13.70862,19/11/2013 16:10,19/11/2013,16:10:00,Start,21.97818,Evening,Evening,20:45:00,19/11/2013,19/11/2013 20:45,19/11/2013 14:45,Loisaba,5:54 AM,19/11/2013 05:54,19/11/2013 18:44,20/11/2013 05:54,6:44 PM,9.080007616,No,25.38,2.29,00:00:00,No,Yes,TRUE
135,WDM135,03/12/2016,13:15:00,59,63,03/12/2016,04/12/2016,04/12/2020,03/12/2016,04/12/2016,16:15:00,03/12/2016 13:15,WDM13542707,03/12/2016 16:15,275,10850,19.26283,03/12/2016 16:15,03/12/2016,16:15:00,Start,39.45455,Evening,Evening,20:50:00,03/12/2016,03/12/2016 20:50,03/12/2016 15:05,Toucan,5:58 AM,03/12/2016 05:58,03/12/2016 18:49,04/12/2016 05:58,6:49 PM,0.655503928,No,27.49,0,00:00:00,No,Yes,TRUE
136,WDM136,24/11/2016,13:30:00,113,161,24/11/2016,25/11/2016,25/11/2020,24/11/2016,25/11/2016,16:30:00,24/11/2016 13:30,WDM13642698,24/11/2016 16:30,275,11321,17.12949,24/11/2016 16:30,24/11/2016,16:30:00,Start,41.16727,Evening,Evening,21:05:00,24/11/2016,24/11/2016 21:05,24/11/2016 16:00,Macho,5:55 AM,24/11/2016 05:55,24/11/2016 18:45,25/11/2016 05:55,6:45 PM,0.381473968,No,27.36,0,00:00:00,No,Yes,TRUE
123,WDF123,14/10/2014,13:15:00,178,242,14/10/2014,15/10/2014,15/10/2018,14/10/2014,15/10/2014,16:15:00,14/10/2014 13:15,WDF12341926,14/10/2014 16:15,265,13064,18.49113,14/10/2014 16:15,14/10/2014,16:15:00,Start,49.29811,Evening,Evening,20:40:00,14/10/2014,14/10/2014 20:40,14/10/2014 14:10,Crocodiles,5:55 AM,14/10/2014 05:55,14/10/2014 18:43,15/10/2014 05:55,6:43 PM,3.303375031,No,28.01,0,00:00:00,No,Yes,TRUE
115,WDM115,08/05/2012,13:15:00,5,0,08/05/2012,09/05/2012,09/05/2016,09/05/2016,10/05/2016,16:15:00,08/05/2012 13:15,WDM11542499,08/05/2012 16:15,260,10193,1024.191,09/05/2016 16:15,09/05/2016,16:15:00,Start,39.20385,Evening,Evening,20:35:00,09/05/2016,09/05/2016 20:35,08/05/2012 15:50,Toucans,6:04 AM,09/05/2016 06:04,09/05/2016 18:55,10/05/2016 06:04,6:55 PM,7.739126748,No,30.17,19.81,00:00:00,No,Yes,TRUE
120,WDF120,17/10/2014,13:20:00,8,4,17/10/2014,18/10/2014,18/10/2018,17/10/2014,18/10/2014,16:20:00,17/10/2014 13:20,WDF12041929,17/10/2014 16:20,260,6287,20.39759,17/10/2014 16:20,17/10/2014,16:20:00,Start,24.18077,Evening,Evening,20:40:00,17/10/2014,17/10/2014 20:40,17/10/2014 15:10,Dispersing,5:54 AM,17/10/2014 05:54,17/10/2014 18:43,18/10/2014 05:54,6:43 PM,1.011100393,No,29.56,0.25,00:00:00,No,Yes,TRUE
119,WDM119,05/12/2013,13:20:00,3,2,05/12/2013,06/12/2013,06/12/2017,05/12/2013,06/12/2013,16:20:00,05/12/2013 13:20,WDM11941613,05/12/2013 16:20,260,8907,15.69448,05/12/2013 16:20,05/12/2013,16:20:00,Start,34.25769,Evening,Evening,20:40:00,05/12/2013,05/12/2013 20:40,05/12/2013 15:50,Dispersing,5:59 AM,05/12/2013 05:59,05/12/2013 18:49,06/12/2013 05:59,6:49 PM,0.342016417,No,24.68,2.29,00:00:00,No,Yes,TRUE
133,WDM133,15/11/2015,13:20:00,9,14,15/11/2015,16/11/2015,16/11/2019,15/11/2015,16/11/2015,16:20:00,15/11/2015 13:20,WDM13342323,15/11/2015 16:20,260,13507,11.75602,15/11/2015 16:20,15/11/2015,16:20:00,Start,51.95,Evening,Evening,20:40:00,15/11/2015,15/11/2015 20:40,15/11/2015 16:00,Wobbegongs,5:53 AM,15/11/2015 05:53,15/11/2015 18:43,16/11/2015 05:53,6:43 PM,0.626974749,No,24.58,4.064,00:00:00,No,Yes,TRUE
130,WDM130,19/11/2014,13:35:00,1,0,19/11/2014,20/11/2014,20/11/2018,19/11/2014,20/11/2014,16:35:00,19/11/2014 13:35,WDM13041962,19/11/2014 16:35,260,13818,20.72189,19/11/2014 16:35,19/11/2014,16:35:00,Start,53.14615,Evening,Evening,20:55:00,19/11/2014,19/11/2014 20:55,19/11/2014 16:15,Ol Pejeta,5:54 AM,19/11/2014 05:54,19/11/2014 18:44,20/11/2014 05:54,6:44 PM,0.077148739,No,26.68,3.05,00:00:00,No,Yes,TRUE
131,WDM131,26/06/2015,13:35:00,1,0,26/06/2015,27/06/2015,27/06/2019,26/06/2015,27/06/2015,16:35:00,26/06/2015 13:35,WDM13142181,26/06/2015 16:35,260,9739,20.98225,26/06/2015 16:35,26/06/2015,16:35:00,Start,37.45769,Evening,Evening,20:55:00,26/06/2015,26/06/2015 20:55,26/06/2015 15:50,Crocodiles,6:09 AM,26/06/2015 06:09,26/06/2015 19:03,27/06/2015 06:09,7:03 PM,5.693601688,Yes,28.17,0,00:00:00,No,Yes,TRUE
115,WDM115,27/11/2011,13:10:00,19,15,27/11/2011,28/11/2011,28/11/2015,28/11/2015,29/11/2015,16:10:00,27/11/2011 13:10,WDM11542336,27/11/2011 16:10,255,8108,442.2206,28/11/2015 16:10,28/11/2015,16:10:00,Start,31.79608,Evening,Evening,20:25:00,28/11/2015,28/11/2015 20:25,27/11/2011 15:40,Toucans,5:56 AM,28/11/2015 05:56,28/11/2015 18:47,29/11/2015 05:56,6:47 PM,0.263198378,No,NA,3.2,00:00:00,No,Yes,TRUE
136,WDM136,06/07/2016,13:30:00,2,0,06/07/2016,07/07/2016,07/07/2020,06/07/2016,07/07/2016,16:30:00,06/07/2016 13:30,WDM13642557,06/07/2016 16:30,255,8872,18.83321,06/07/2016 16:30,06/07/2016,16:30:00,Start,34.79216,Evening,Evening,20:45:00,06/07/2016,06/07/2016 20:45,06/07/2016 15:25,Macho,6:11 AM,06/07/2016 06:11,06/07/2016 19:04,07/07/2016 06:11,7:04 PM,0.176380882,No,28.48,0,00:00:00,No,Yes,TRUE
119,WDM119,18/08/2014,13:45:00,5,4,18/08/2014,19/08/2014,19/08/2018,18/08/2014,19/08/2014,16:45:00,18/08/2014 13:45,WDM11941869,18/08/2014 16:45,255,10363,22.93961,18/08/2014 16:45,18/08/2014,16:45:00,Start,40.63922,Evening,Evening,21:00:00,18/08/2014,18/08/2014 21:00,18/08/2014 15:35,Crocodiles,6:12 AM,18/08/2014 06:12,18/08/2014 19:02,19/08/2014 06:12,7:02 PM,1.48156544,Yes,26.06,0,00:00:00,No,Yes,TRUE
123,WDF123,31/05/2014,13:50:00,23,28,31/05/2014,01/06/2014,01/06/2018,31/05/2014,01/06/2014,16:50:00,31/05/2014 13:50,WDF12341790,31/05/2014 16:50,255,11572,23.44595,31/05/2014 16:50,31/05/2014,16:50:00,Start,45.38039,Evening,Evening,21:05:00,31/05/2014,31/05/2014 21:05,31/05/2014 16:20,Crocodiles,6:05 AM,31/05/2014 06:05,31/05/2014 18:57,01/06/2014 06:05,6:57 PM,0.286694442,No,28.42,0,00:00:00,No,Yes,TRUE
