,RoundedDT,ID,timedate.local,LocalTime,Intensity,Moonlight,Denning,Duration,DateTime,Time1,Time2,Stop,AirTC_1_Avg,RH_1,AirTC_2_Avg,RH_2,Solar1_kW_Avg,Solar2_kW_Avg,WS_mph_S_WVT,WindDir_D1_WVT,Rain_in_Tot
3819,31/07/2014 17:30,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 17:35,0,1,0,22.47,40.82,22.3,39.4,0.143,0.145,10.37,179.2,0
3820,31/07/2014 17:45,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 17:50,1,2,0,21.99,43.46,21.84,42.04,0.1,0.102,9.29,177.5,0
3822,31/07/2014 18:00,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 18:05,2,3,0,21.43,45.83,21.28,44.38,0.084,0.085,10.26,170,0
3824,31/07/2014 18:15,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 18:20,3,4,0,20.94,47.29,20.79,45.7,0.059,0.06,9.11,172.6,0
3827,31/07/2014 18:30,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 18:35,4,5,0,20.54,48.85,20.4,47.39,0.031,0.032,7.915,174.7,0
3829,31/07/2014 18:45,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 18:50,5,6,0,20.15,50.91,19.99,49.53,0.007,0.008,7.961,179,0
3831,31/07/2014 19:00,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 19:05,6,7,0,19.63,53.32,19.48,51.86,0.001,0.001,8.86,175.4,0
3832,31/07/2014 19:15,WDF120,31/07/2014 17:35,5:35 PM,35.15652,0.770500717,No,115,31/07/2014 19:20,7,8,1,19.27,53.82,19.12,52.37,0,0,8.45,179.6,0
3841,01/08/2014 17:15,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 17:20,0,1,0,26,31.11,25.84,30,0.22,0.223,8.26,107.4,0
3845,01/08/2014 17:30,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 17:35,1,2,0,25.26,30.94,25.1,29.73,0.077,0.079,7.421,103.1,0
3846,01/08/2014 17:45,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 17:50,2,3,0,25,31.42,24.85,30.2,0.053,0.054,6.12,88.5,0
3849,01/08/2014 18:00,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 18:05,3,4,0,24.5,32.47,24.34,31.32,0.034,0.035,7.046,96.6,0
3853,01/08/2014 18:15,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 18:20,4,5,0,24.02,37.64,23.87,36.56,0.017,0.018,6.833,134,0
3856,01/08/2014 18:30,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 18:35,5,6,0,23.41,39.61,23.26,38.15,0.009,0.01,6.566,142.7,0
3859,01/08/2014 18:45,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 18:50,6,7,0,22.77,42.82,22.62,41.23,0.002,0.003,7.503,147.6,0
3862,01/08/2014 19:00,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 19:05,7,8,0,22.12,44.48,21.97,42.89,0,0.001,7.967,156.6,0
3864,01/08/2014 19:15,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 19:20,8,9,0,21.76,45.33,21.61,43.74,0,0,5.078,156.8,0
3868,01/08/2014 19:30,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 19:35,9,10,0,21.35,46.68,21.2,45.13,0,0,6.588,155.9,0
3871,01/08/2014 19:45,WDF120,01/08/2014 17:20,5:20 PM,49.93939,1.311194914,No,165,01/08/2014 19:50,10,11,1,20.92,47.77,20.77,46.21,0,0,5.971,155.2,0
3893,03/08/2014 17:30,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 17:30,0,1,0,22.92,44.01,22.79,42.69,0.063,0.065,4.313,141,0
3894,03/08/2014 17:45,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 17:45,1,2,0,22.37,48.58,22.23,47.26,0.062,0.064,6.998,162,0
3897,03/08/2014 18:00,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 18:00,2,3,0,21.59,50.54,21.44,49.26,0.11,0.111,7.124,175.8,0
3899,03/08/2014 18:15,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 18:15,3,4,0,20.58,54.43,20.44,53.08,0.06,0.06,7.958,178.9,0
3901,03/08/2014 18:30,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 18:30,4,5,0,19.76,56.9,19.61,55.62,0.014,0.015,6.998,182.1,0
3902,03/08/2014 18:45,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 18:45,5,6,0,19.17,59.41,19.01,58.13,0.005,0.005,7.766,185.2,0
3904,03/08/2014 19:00,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 19:00,6,7,0,18.7,61,18.55,59.75,0.001,0.001,7.88,179.7,0
3907,03/08/2014 19:15,WDF120,03/08/2014 17:30,5:30 PM,39.65,2.981436514,No,120,03/08/2014 19:15,7,8,1,18.31,63.18,18.16,62.06,0,0,7.859,189,0
