,ID,timedate.local,LocalTime,timestep,Temperature,Radiation,Rainfall,Denning,Moonlight,Duration,Intensity,Stop
1,WDF120,31/07/2014 17:35,5:35 PM,8,20.8025,0.053125,0,No,0.770500717,115,35.15652,1
2,WDF120,01/08/2014 17:20,5:20 PM,11,23.37363636,0.037454545,0,No,1.311194914,165,49.93939,1
3,WDF120,03/08/2014 17:30,5:30 PM,8,20.425,0.039375,0,No,2.981436514,120,39.65,1
4,WDF120,04/08/2014 17:05,5:05 PM,7,16.97142857,0.013714286,2.54,No,4.122498264,105,26.25714,1
5,WDF120,05/08/2014 18:00,6:00 PM,7,19.00428571,0.021571429,0.254,No,5.443373276,110,46.97273,1
6,WDF120,06/08/2014 17:25,5:25 PM,11,19.22090909,0.035818182,0,No,6.882043515,170,54.92941,1
8,WDF120,07/08/2014 17:55,5:55 PM,10,18.51,0.0083,0,No,9.724997336,155,38.09032,1
9,WDF120,09/08/2014 17:45,5:45 PM,6,22.15166667,0.034,0,No,10.89188993,95,16.62105,1
10,WDF120,10/08/2014 17:50,5:50 PM,8,17.8675,0.009875,0,No,11.05551521,115,56.17391,1
11,WDF120,11/08/2014 17:55,5:55 PM,8,19.53875,0.01225,0,No,10.42239137,125,40.072,1
13,WDF120,13/08/2014 17:55,5:55 PM,6,21.485,0.012833333,0,No,7.480402293,90,49.16667,1
15,WDF120,16/08/2014 18:10,6:10 PM,4,20.775,0.018,0,No,3.34382581,65,59.93846,1
16,WDF120,17/08/2014 18:20,6:20 PM,9,20.13444444,0.002333333,0,No,2.302104461,135,35.72593,1
17,WDF120,18/08/2014 17:40,5:40 PM,7,20.83571429,0.03,0,No,1.48156544,105,28.48571,1
18,WDF120,20/08/2014 18:15,6:15 PM,7,20.94428571,0.014285714,0,No,0.456362882,105,41.05714,1
19,WDF120,21/08/2014 17:40,5:40 PM,9,22.70444444,0.016111111,0,No,0.198443753,140,30.95,1
20,WDF120,22/08/2014 17:55,5:55 PM,9,22.59444444,0.005,0,No,0.062769638,135,43.31111,1
21,WDF120,23/08/2014 17:35,5:35 PM,12,18.165,0.030583333,0,No,0.009949021,180,40.48889,1
22,WDF120,24/08/2014 16:05,4:05 PM,13,15.98538462,0.015923077,2.54,No,7.38E-05,195,40.16923,1
23,WDF120,26/08/2014 17:45,5:45 PM,8,22.9375,0.027875,0,No,0.007376151,120,60.65833,1
24,WDF120,29/08/2014 17:40,5:40 PM,8,19.2425,0.003625,0.254,No,0.525408976,125,33.888,1
25,WDF120,01/09/2014 18:10,6:10 PM,9,18.58333333,0.000444444,0,Yes,2.607971679,130,45.8,1
26,WDF120,02/09/2014 17:05,5:05 PM,11,18.27272727,0.106454545,0,Yes,3.756720361,165,48.2,1
27,WDF120,05/09/2014 16:50,4:50 PM,14,16.02,0.009357143,0,Yes,8.056662987,215,71.30698,1
28,WDF120,06/09/2014 17:20,5:20 PM,10,20.468,0.0382,0,Yes,9.459444024,150,61.45333,1
29,WDF120,07/09/2014 16:55,4:55 PM,10,21.737,0.0889,0,Yes,10.65171741,145,28.15862,1
30,WDF120,08/09/2014 18:10,6:10 PM,6,20.205,0.014,0,Yes,11.14805692,85,52.10588,1
32,WDF120,13/09/2014 17:50,5:50 PM,6,23.42166667,0.027166667,0,Yes,5.114656135,95,55.56842,1
34,WDF120,16/09/2014 17:45,5:45 PM,9,20.25,0.024777778,0,No,1.87273631,130,48.92308,1
35,WDF120,17/09/2014 17:20,5:20 PM,11,23.01454545,0.06,0,Yes,1.183717362,170,28.78824,1
36,WDF120,18/09/2014 17:35,5:35 PM,8,23.98875,0.062,0,Yes,0.684365907,125,53.808,1
37,WDF120,19/09/2014 17:15,5:15 PM,7,24.28285714,0.131428571,0,Yes,0.348601906,110,51.52727,1
38,WDF120,20/09/2014 16:50,4:50 PM,12,24.06,0.11525,0,Yes,0.143619075,180,31.5,1
39,WDF120,21/09/2014 17:45,5:45 PM,9,22.70333333,0.015555556,0,Yes,0.03922801,140,53.73571,1
40,WDF120,22/09/2014 17:25,5:25 PM,10,21.615,0.024,0,Yes,0.003666387,150,45.88,1
41,WDF120,23/09/2014 17:20,5:20 PM,15,21.892,0.0266,0.254,Yes,0,220,39.54091,1
42,WDF120,24/09/2014 17:10,5:10 PM,14,22.52071429,0.031142857,0,Yes,0,210,38.9,1
43,WDF120,25/09/2014 17:15,5:15 PM,14,21.30642857,0.0135,0,Yes,0.024583107,205,52.37561,1
44,WDF120,27/09/2014 17:35,5:35 PM,12,23.0975,0.047,0,No,0.370325473,180,41.10556,1
