Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalDate3,Actual_date,Next_actual_date,LocalTime,timedate,conc,timedate.local,Duration,SumAct,Radiation,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay3,partofday,Stop.time.or.start,Date stop,time_date_stop,StopTime_Previous,Pack,Time Dawn,Dawn,Dusk,Dawn2,Time Dusk,Moonlight,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Rainfall,Midnight,Nightstart,Nightend,try
112,WDM112,31/01/2009,08:30:00,0,1,31/01/2009,01/02/2009,01/02/2013,01/02/2013,02/02/2013,11:30:00,31/01/2009 08:30,WDM11241306,31/01/2009 11:30,NA,1843,NA,01/02/2013 11:30,01/02/2013,11:30:00,Start,0.001306907,NA,NA,18:50:00,02/02/2013,02/02/2013 18:50,31/01/2009 11:15,Tuis,6:22 AM,01/02/2013 06:22,01/02/2013 19:12,02/02/2013 06:22,7:12 PM,4.547319822,NA,NA,NA,No,27.43,0,00:00:00,No,No,TRUE
115,WDM115,08/06/2012,10:05:00,1,1,08/06/2012,09/06/2012,09/06/2016,09/06/2016,10/06/2016,13:05:00,08/06/2012 10:05,WDM11542530,08/06/2012 13:05,NA,4044,859.9042,09/06/2016 13:05,09/06/2016,13:05:00,Start,0.006828428,NA,NA,19:35:00,09/06/2016,09/06/2016 19:35,08/06/2012 12:40,Toucans,6:06 AM,09/06/2016 06:06,09/06/2016 18:59,10/06/2016 06:06,6:59 PM,5.335568848,NA,NA,NA,No,26.89,0.25,00:00:00,No,Yes,TRUE
118,WDM118,06/08/2013,03:45:00,28,43,06/08/2013,07/08/2013,07/08/2017,06/08/2013,07/08/2013,06:45:00,06/08/2013 03:45,WDM11841492,06/08/2013 06:45,NA,3935,13.68643,06/08/2013 06:45,06/08/2013,06:45:00,Start,0.007506534,Morning,Morning,07:35:00,07/08/2013,07/08/2013 07:35,06/08/2013 06:30,Bahatis,6:14 AM,06/08/2013 06:14,06/08/2013 19:05,07/08/2013 06:14,7:05 PM,0,NA,NA,NA,No,22.13,0,00:00:00,No,No,TRUE
119,WDM119,12/07/2014,21:35:00,150,226,12/07/2014,13/07/2014,13/07/2018,12/07/2014,13/07/2014,00:35:00,12/07/2014 21:35,WDM11941832,13/07/2014 00:35,2135,20814,18.3657,13/07/2014 00:35,13/07/2014,00:35:00,Start,9.748946,Night,Night,12:10:00,13/07/2014,13/07/2014 12:10,12/07/2014 23:40,Crocodiles,6:12 AM,12/07/2014 06:12,12/07/2014 19:05,13/07/2014 06:12,7:05 PM,10.94612065,no,no,no,Yes,23.95,2.79,00:00:00,Yes,No,TRUE
123,WDF123,12/07/2014,21:35:00,43,44,12/07/2014,13/07/2014,13/07/2018,12/07/2014,13/07/2014,00:35:00,12/07/2014 21:35,WDF12341832,13/07/2014 00:35,2030,17251,18.3657,13/07/2014 00:35,13/07/2014,00:35:00,Start,8.49803,Night,Night,10:25:00,13/07/2014,13/07/2014 10:25,12/07/2014 00:20,Crocodiles,6:12 AM,12/07/2014 06:12,12/07/2014 19:05,13/07/2014 06:12,7:05 PM,10.94612065,no,no,no,Yes,23.95,2.79,00:00:00,Yes,No,TRUE
119,WDM119,13/07/2014,21:30:00,29,45,13/07/2014,14/07/2014,14/07/2018,13/07/2014,14/07/2014,00:30:00,13/07/2014 21:30,WDM11941833,14/07/2014 00:30,1755,2598,19.96686,14/07/2014 00:30,14/07/2014,00:30:00,Start,1.480342,Night,Night,05:45:00,14/07/2014,14/07/2014 05:45,13/07/2014 00:15,Crocodiles,6:12 AM,13/07/2014 06:12,13/07/2014 19:05,14/07/2014 06:12,7:05 PM,9.927023511,no,no,no,Yes,25.74,0,00:00:00,Yes,Yes,TRUE
123,WDF123,10/09/2014,21:05:00,34,34,10/09/2014,11/09/2014,11/09/2018,10/09/2014,11/09/2014,00:05:00,10/09/2014 21:05,WDF12341892,11/09/2014 00:05,1730,15171,22.92966,11/09/2014 00:05,11/09/2014,00:05:00,Start,8.769364,Night,Night,04:55:00,11/09/2014,11/09/2014 04:55,10/09/2014 22:40,Crocodiles,6:06 AM,10/09/2014 06:06,10/09/2014 18:55,11/09/2014 06:06,6:55 PM,9.477296921,yes,no,yes,Yes,26.96,0,00:00:00,Yes,Yes,TRUE
119,WDM119,10/09/2014,21:15:00,77,82,10/09/2014,11/09/2014,11/09/2018,10/09/2014,11/09/2014,00:15:00,10/09/2014 21:15,WDM11941892,11/09/2014 00:15,1730,16432,22.92966,11/09/2014 00:15,11/09/2014,00:15:00,Start,9.498266,Night,Night,05:05:00,11/09/2014,11/09/2014 05:05,10/09/2014 00:00,Crocodiles,6:06 AM,10/09/2014 06:06,10/09/2014 18:55,11/09/2014 06:06,6:55 PM,9.477296921,yes,no,yes,Yes,26.96,0,00:00:00,Yes,Yes,TRUE
120,WDF120,11/10/2014,21:05:00,3,2,11/10/2014,12/10/2014,12/10/2018,11/10/2014,12/10/2014,00:05:00,11/10/2014 21:05,WDF12041923,12/10/2014 00:05,1720,12684,20.16704,12/10/2014 00:05,12/10/2014,00:05:00,Start,7.374419,Night,Night,04:45:00,12/10/2014,12/10/2014 04:45,11/10/2014 23:45,Dispersing,5:56 AM,11/10/2014 05:56,11/10/2014 18:44,12/10/2014 05:56,6:44 PM,7.100025708,NA,NA,NA,No,27.81,0,00:00:00,Yes,Yes,TRUE
126,WDF126,05/04/2015,21:10:00,9,13,05/04/2015,06/04/2015,06/04/2019,05/04/2015,06/04/2015,00:10:00,05/04/2015 21:10,WDF12642099,06/04/2015 00:10,1690,13538,16.25949,06/04/2015 00:10,06/04/2015,00:10:00,Start,8.010651,Night,Night,04:20:00,06/04/2015,06/04/2015 04:20,05/04/2015 23:35,Toucans,6:12 AM,05/04/2015 06:12,05/04/2015 19:00,06/04/2015 06:12,7:00 PM,10.36636097,NA,NA,NA,No,28.36,0,00:00:00,Yes,Yes,TRUE
126,WDF126,11/04/2015,21:25:00,31,43,11/04/2015,12/04/2015,12/04/2019,11/04/2015,12/04/2015,00:25:00,11/04/2015 21:25,WDF12642105,12/04/2015 00:25,1685,7150,24.63707,12/04/2015 00:25,12/04/2015,00:25:00,Start,4.243323,Night,Night,04:30:00,12/04/2015,12/04/2015 04:30,11/04/2015 00:05,Toucans,6:10 AM,11/04/2015 06:10,11/04/2015 18:59,12/04/2015 06:10,6:59 PM,2.468767788,NA,NA,NA,No,27.62,0,00:00:00,Yes,Yes,TRUE
