Dog,ID,LocalDate,LocalTime,Duration,SumAct,Radiation,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay3,partofday,Stop.time.or.start,Pack,Time Dawn,Time Dusk,Moonlight,Denning,Temperature,Rainfall,Midnight,Nightstart,Nightend,try
120,WDF120,31/07/2014,06:10:00,195,9672,22.21501,01/08/2014 06:10,01/08/2014,06:10:00,Start,49.6,Morning,Morning,09:25:00,Tuis,6:14 AM,7:05 PM,0.770500717,No,26.13,0,00:00:00,Yes,No,TRUE
120,WDF120,01/08/2014,05:10:00,265,13972,24.14716,02/08/2014 05:10,02/08/2014,05:10:00,Start,52.72453,Morning,Morning,09:35:00,Tuis,6:14 AM,7:05 PM,1.311194914,No,26.49,0,00:00:00,Yes,No,TRUE
120,WDF120,02/08/2014,06:00:00,225,11482,20.67569,03/08/2014 06:00,03/08/2014,06:00:00,Start,51.03111,Morning,Morning,09:45:00,Tuis,6:14 AM,7:05 PM,2.040767177,No,28.35,0,00:00:00,Yes,No,TRUE
120,WDF120,03/08/2014,05:45:00,200,9704,21.2228,04/08/2014 05:45,04/08/2014,05:45:00,Start,48.52,Morning,Morning,09:05:00,Tuis,6:14 AM,7:05 PM,2.981436514,No,26.83,0,00:00:00,Yes,No,TRUE
120,WDF120,04/08/2014,06:00:00,150,8255,14.24333,05/08/2014 06:00,05/08/2014,06:00:00,Start,55.03333,Morning,Morning,08:30:00,Tuis,6:14 AM,7:05 PM,4.122498264,No,24.68,0,00:00:00,Yes,No,TRUE
120,WDF120,05/08/2014,05:55:00,205,9694,17.51153,06/08/2014 05:55,06/08/2014,05:55:00,Start,47.2878,Morning,Morning,09:20:00,Tuis,6:14 AM,7:05 PM,5.443373276,No,26.41,20.32,00:00:00,Yes,No,TRUE
120,WDF120,06/08/2014,06:00:00,185,10507,17.51424,07/08/2014 06:00,07/08/2014,06:00:00,Start,56.79459,Morning,Morning,09:05:00,Tuis,6:14 AM,7:05 PM,6.882043515,No,25.91,0.25,00:00:00,Yes,No,TRUE
120,WDF120,07/08/2014,06:20:00,95,3558,22.117,07/08/2014 06:20,07/08/2014,06:20:00,Start,37.45263,Morning,Morning,07:55:00,Tuis,6:14 AM,7:04 PM,8.347034858,No,26.42,0,00:00:00,No,No,TRUE
120,WDF120,08/08/2014,05:40:00,220,9464,20.51829,09/08/2014 05:40,09/08/2014,05:40:00,Start,43.01818,Morning,Morning,09:20:00,Tuis,6:14 AM,7:04 PM,9.724997336,No,25.75,0,00:00:00,Yes,No,TRUE
120,WDF120,09/08/2014,06:15:00,170,7165,19.00515,09/08/2014 06:15,09/08/2014,06:15:00,Start,42.14706,Morning,Morning,09:05:00,Tuis,6:13 AM,7:04 PM,10.89188993,No,27.56,0,00:00:00,No,No,TRUE
