,RoundedDT,ID,LocalDate,LocalTime,Duration,Moonlight,Denning,Intensity,DateTime,Time1,Time2,Stop,AirTC_1_Avg,RH_1,AirTC_2_Avg,RH_2,Solar1_kW_Avg,Solar2_kW_Avg,WS_mph_S_WVT,WindDir_D1_WVT,Rain_in_Tot
6258,01/08/2014 05:15,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 05:10,0,1,0,13.57,84.9,13.45,84.9,0,0,5.08,180.9,0
6259,01/08/2014 05:30,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 05:25,1,2,0,13.38,85.1,13.25,85.2,0,0,4.411,181.2,0
6260,01/08/2014 05:45,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 05:40,2,3,0,13.36,84.1,13.24,83.9,0,0,4.859,168,0
6262,01/08/2014 06:00,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 05:55,3,4,0,13.51,82.3,13.4,82,0,0,4.306,172,0
6263,01/08/2014 06:15,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 06:10,4,5,0,13.57,81.3,13.45,81.2,0,0,4.239,169.9,0
6266,01/08/2014 06:30,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 06:25,5,6,0,13.62,79.9,13.51,79.76,0,0.001,5.299,174.5,0
6267,01/08/2014 06:45,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 06:40,6,7,0,13.64,79.46,13.52,79.32,0.006,0.006,5.316,177,0
6269,01/08/2014 07:00,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 06:55,7,8,0,13.67,78.48,13.56,78.31,0.034,0.034,3.978,168.6,0
6271,01/08/2014 07:15,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 07:10,8,9,0,13.95,76.68,13.88,76.34,0.083,0.083,4.214,174,0
6273,01/08/2014 07:30,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 07:25,9,10,0,14.3,74.27,14.25,73.59,0.133,0.134,4.755,173.7,0
6275,01/08/2014 07:45,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 07:40,10,11,0,14.78,70.84,14.77,69.93,0.183,0.185,4.674,176.6,0
6278,01/08/2014 08:00,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 07:55,11,12,0,15.53,66.19,15.54,64.84,0.234,0.253,5.539,169.7,0
6279,01/08/2014 08:15,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 08:10,12,13,0,16.36,61.89,16.35,60.7,0.313,0.321,7.709,170,0
6282,01/08/2014 08:30,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 08:25,13,14,0,17.41,57.31,17.4,55.86,0.379,0.388,7.473,165.7,0
6284,01/08/2014 08:45,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 08:40,14,15,0,18.16,53.85,18.17,52.43,0.44,0.451,7.996,164.5,0
6285,01/08/2014 09:00,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 08:55,15,16,0,18.43,52.63,18.43,50.91,0.469,0.482,9.13,162.1,0
6287,01/08/2014 09:15,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 09:10,16,17,0,19.09,51.85,19.1,50.09,0.528,0.542,9.17,156.6,0
6289,01/08/2014 09:30,WDF120,01/08/2014,5H 10M 0S,265,1.311194914,No,52.72453,01/08/2014 09:25,17,18,1,19.57,48.3,19.59,46.43,0.579,0.595,8.17,164.9,0
6293,02/08/2014 06:00,WDF120,02/08/2014,6H 0M 0S,225,2.040767177,No,51.03111,02/08/2014 06:00,0,1,0,12.33,82.3,12.17,82.4,0,0,2.939,142.1,0
6294,02/08/2014 06:15,WDF120,02/08/2014,6H 0M 0S,225,2.040767177,No,51.03111,02/08/2014 06:15,1,2,0,11.95,83.4,11.82,83.4,0,0,1.671,155.8,0
6301,02/08/2014 06:30,WDF120,02/08/2014,6H 0M 0S,225,2.040767177,No,51.03111,02/08/2014 06:30,2,3,0,11.67,84.3,11.57,84.2,0,0.001,0.357,186.7,0
6305,02/08/2014 06:45,WDF120,02/08/2014,6H 0M 0S,225,2.040767177,No,51.03111,02/08/2014 06:45,3,4,0,11.14,85.7,11.04,85.6,0.005,0.005,1.597,278.5,0
