Dog,ID,UTC.Date,UTC.Time,ActivityX,ActivityY,LocalDate,LocalDate2,LocalDate3,Actual_date,Next_actual_date,LocalTime,timedate,conc,timedate.local,Duration,SumAct,SSDateTime,SSDate,SSTime,Bout,Intensity,PartOfDay,Stop.time.or.start,Date stop,time_date_stop,StopTime_Previous,Pack,Time Dawn,Dawn,Dusk,Dawn2,Time Dusk,Moonlight,Babysit,Babysit morning,Babysit evening,Denning,Temperature,Rainfall,Midnight,Nightstart,Nightend,try,Moonlight,Moonrise_sun
119,WDM119,05/10/2013,17:40:00,13,11,05/10/2013,06/10/2013,06/10/2017,05/10/2013,06/10/2013,20:40:00,05/10/2013 17:40,WDM11941552,05/10/2013 20:40,530,29683,05/10/2013 20:40,05/10/2013,20:40:00,Start,56.00566,NA,05:30:00,06/10/2013,06/10/2013 05:30,05/10/2013 20:15,Loisaba,5:58 AM,05/10/2013 05:58,05/10/2013 18:45,06/10/2013 05:58,6:45 PM,0,no,no,no,No,28.71,0,00:00:00,Yes,Yes,TRUE,41552.17917,14.45
97,WDM97,09/05/2007,19:07:12,115,119,09/05/2007,10/05/2007,10/05/2011,10/05/2011,11/05/2011,22:07:12,09/05/2007 19:07,WDM9740673,09/05/2007 22:07,446.4,37386,10/05/2011 22:07,10/05/2011,22:07:12,Start,83.75,Nighttime,05:33:36,11/05/2011,11/05/2011 05:33,09/05/2007 21:33,Rat,6:04 AM,10/05/2011 06:04,10/05/2011 18:55,11/05/2011 06:04,6:55 PM,3.542235501,no,no,no,No,25.6,0,00:00:00,Yes,Yes,TRUE,40673.43472,8.48
126,WDF126,29/07/2015,17:55:00,12,19,29/07/2015,30/07/2015,30/07/2019,29/07/2015,30/07/2015,20:55:00,29/07/2015 17:55,WDF12642214,29/07/2015 20:55,445,13612,29/07/2015 20:55,29/07/2015,20:55:00,Start,30.58876,NA,04:20:00,30/07/2015,30/07/2015 04:20,29/07/2015 20:40,Toucans,6:14 AM,29/07/2015 06:14,29/07/2015 19:05,30/07/2015 06:14,7:05 PM,10.07622231,no,no,no,No,27.33,0.25,00:00:00,Yes,Yes,TRUE,42214.61875,4.23
119,WDM119,24/08/2013,18:55:00,3,7,24/08/2013,25/08/2013,25/08/2017,24/08/2013,25/08/2013,21:55:00,24/08/2013 18:55,WDM11941510,24/08/2013 21:55,440,23084,24/08/2013 21:55,24/08/2013,21:55:00,Start,52.46364,Nighttime,05:15:00,25/08/2013,25/08/2013 05:15,24/08/2013 21:10,Loisaba,6:11 AM,24/08/2013 06:11,24/08/2013 19:00,25/08/2013 06:11,7:00 PM,6.777105455,no,no,no,No,25.15,0,00:00:00,Yes,Yes,TRUE,41510.81042,-0.45
126,WDF126,10/08/2014,19:00:00,179,255,10/08/2014,11/08/2014,11/08/2018,10/08/2014,11/08/2014,22:00:00,10/08/2014 19:00,WDF12641861,10/08/2014 22:00,440,32264,10/08/2014 22:00,10/08/2014,22:00:00,Start,73.32727,Nighttime,05:20:00,11/08/2014,11/08/2014 05:20,10/08/2014 21:15,Katu,6:13 AM,10/08/2014 06:13,10/08/2014 19:04,11/08/2014 06:13,7:04 PM,11.05551521,no,no,no,No,26.16,0,00:00:00,Yes,Yes,TRUE,41861.68472,2.63
133,WDM133,20/12/2015,19:25:00,0,2,20/12/2015,21/12/2015,21/12/2019,20/12/2015,21/12/2015,22:25:00,20/12/2015 19:25,WDM13342358,20/12/2015 22:25,390,20044,20/12/2015 22:25,20/12/2015,22:25:00,Start,51.39487,Nighttime,04:55:00,21/12/2015,21/12/2015 04:55,20/12/2015 22:05,Wobbegongs,6:05 AM,20/12/2015 06:05,20/12/2015 18:56,21/12/2015 06:05,6:56 PM,6.305410439,no,no,no,No,24.87,0,00:00:00,Yes,Yes,TRUE,42358.46389,7.80
119,WDM119,08/02/2014,17:40:00,10,10,08/02/2014,09/02/2014,09/02/2018,08/02/2014,09/02/2014,20:40:00,08/02/2014 17:40,WDM11941678,08/02/2014 20:40,380,22862,08/02/2014 20:40,08/02/2014,20:40:00,Start,60.16316,NA,03:00:00,09/02/2014,09/02/2014 03:00,08/02/2014 20:20,Crocodiles,6:23 AM,08/02/2014 06:23,08/02/2014 19:12,09/02/2014 06:23,7:12 PM,5.237523124,no,no,no,No,30.6,10.67,00:00:00,Yes,Yes,TRUE,41678.44722,8.47
133,WDM133,13/10/2015,19:00:00,8,13,13/10/2015,14/10/2015,14/10/2019,13/10/2015,14/10/2015,22:00:00,13/10/2015 19:00,WDM13342290,13/10/2015 22:00,380,20733,13/10/2015 22:00,13/10/2015,22:00:00,Start,54.56053,Nighttime,04:20:00,14/10/2015,14/10/2015 04:20,13/10/2015 21:30,Wobbegongs,5:55 AM,13/10/2015 05:55,13/10/2015 18:43,14/10/2015 05:55,6:43 PM,0.002145716,no,no,no,No,29.66,0,00:00:00,Yes,Yes,TRUE,42290.18542,14.27
133,WDM133,26/08/2015,19:55:00,26,31,26/08/2015,27/08/2015,27/08/2019,26/08/2015,27/08/2015,22:55:00,26/08/2015 19:55,WDM13342242,26/08/2015 22:55,380,18718,26/08/2015 22:55,26/08/2015,22:55:00,Start,49.25789,Nighttime,05:15:00,27/08/2015,27/08/2015 05:15,26/08/2015 22:35,Wobbegongs,6:11 AM,26/08/2015 06:11,26/08/2015 19:00,27/08/2015 06:11,7:00 PM,8.428414007,no,no,no,No,28.16,0,00:00:00,Yes,Yes,TRUE,42242.56667,5.40
132,WDM132,25/04/2015,19:15:00,0,1,25/04/2015,26/04/2015,26/04/2019,25/04/2015,26/04/2015,22:15:00,25/04/2015 19:15,WDM13242119,25/04/2015 22:15,355,18168,25/04/2015 22:15,25/04/2015,22:15:00,Start,51.17746,Nighttime,04:10:00,26/04/2015,26/04/2015 04:10,25/04/2015 22:00,Bahatis,6:06 AM,25/04/2015 06:06,25/04/2015 18:56,26/04/2015 06:06,6:56 PM,3.148518045,no,no,no,No,28.79,0,00:00:00,Yes,Yes,TRUE,42119.42639,8.70
