"","dates","date","lat","lon","dawn","dusk","rise","set","dawn.1","dusk.1","correct_moonrise","correct_moonset","Hours_of_moonlight","fraction","combined_moonlight"
"1",2007-01-03,"2007-01-03 12:00:00",0.2922,36.898,2007-01-03 06:12:17,2007-01-03 19:03:24,2007-01-03 18:48:50,2007-01-03 06:22:51,2007-01-04 06:12:45,2007-01-04 19:03:50,2007-01-03 15:48:50,2007-01-04 04:19:34,11.1558333333333,0.98689308343055,11.0096147565706
"2",2007-01-04,"2007-01-04 12:00:00",0.2922,36.898,2007-01-04 06:12:45,2007-01-04 19:03:50,2007-01-04 19:43:42,2007-01-04 07:19:34,2007-01-05 06:13:13,2007-01-05 19:04:15,2007-01-04 16:43:42,2007-01-05 05:11:47,10.4919444444444,0.955513039437762,10.0251897257233
"3",2007-01-05,"2007-01-05 12:00:00",0.2922,36.898,2007-01-05 06:13:13,2007-01-05 19:04:15,2007-01-05 20:33:39,2007-01-05 08:11:47,2007-01-06 06:13:40,2007-01-06 19:04:40,2007-01-05 17:33:39,2007-01-06 06:00:14,9.66694444444444,0.90666952051578,8.76472388429713
"4",2007-01-06,"2007-01-06 12:00:00",0.2922,36.898,2007-01-06 06:13:40,2007-01-06 19:04:40,2007-01-06 21:19:29,2007-01-06 09:00:14,2007-01-07 06:14:07,2007-01-07 19:05:05,2007-01-06 18:19:29,2007-01-07 06:43:35,8.91055555555556,0.843253351890862,7.51385583943196
"5",2007-01-07,"2007-01-07 12:00:00",0.2922,36.898,2007-01-07 06:14:07,2007-01-07 19:05:05,2007-01-07 22:01:09,2007-01-07 09:43:35,2007-01-08 06:14:34,2007-01-08 19:05:29,2007-01-07 19:01:09,2007-01-08 07:23:35,8.22361111111111,0.76820740202033,6.31743892689218
"6",2007-01-08,"2007-01-08 12:00:00",0.2922,36.898,2007-01-08 06:14:34,2007-01-08 19:05:29,2007-01-08 22:41:47,2007-01-08 10:23:35,2007-01-09 06:15:00,2007-01-09 19:05:53,2007-01-08 19:41:47,2007-01-09 08:03:10,7.55361111111111,0.684411378900207,5.16977739623148
"7",2007-01-09,"2007-01-09 12:00:00",0.2922,36.898,2007-01-09 06:15:00,2007-01-09 19:05:53,2007-01-09 23:20:26,2007-01-09 11:03:10,2007-01-10 06:15:26,2007-01-10 19:06:16,2007-01-09 20:20:26,2007-01-10 08:41:23,6.91666666666667,0.594642886346151,4.11294663056088
"8",2007-01-10,"2007-01-10 12:00:00",0.2922,36.898,2007-01-10 06:15:26,2007-01-10 19:06:16,2007-01-10 23:58:25,2007-01-10 11:41:23,2007-01-11 06:15:51,2007-01-11 19:06:38,2007-01-10 20:58:25,2007-01-11 09:19:41,6.29055555555556,0.501602717193946,3.15535975932614
"9",2007-01-11,"2007-01-11 12:00:00",0.2922,36.898,2007-01-11 06:15:51,2007-01-11 19:06:38,2007-01-12 00:39:01,2007-01-11 12:19:41,2007-01-12 06:16:16,2007-01-12 19:07:00,2007-01-11 21:39:01,2007-01-12 10:01:21,5.62083333333333,0.407989958559257,2.29324355873516
"10",2007-01-12,"2007-01-12 12:00:00",0.2922,36.898,2007-01-12 06:16:16,2007-01-12 19:07:00,2007-01-13 01:21:11,2007-01-12 13:01:21,2007-01-13 06:16:41,2007-01-13 19:07:22,2007-01-12 22:21:11,2007-01-13 10:44:39,4.925,0.316608138515721,1.55929508218992
"11",2007-01-13,"2007-01-13 12:00:00",0.2922,36.898,2007-01-13 06:16:41,2007-01-13 19:07:22,2007-01-14 02:06:04,2007-01-13 13:44:39,2007-01-14 06:17:05,2007-01-14 19:07:43,2007-01-13 23:06:04,2007-01-14 11:31:23,4.18361111111111,0.230476156570826,0.964222609475892
"12",2007-01-14,"2007-01-14 12:00:00",0.2922,36.898,2007-01-14 06:17:05,2007-01-14 19:07:43,2007-01-15 02:55:46,2007-01-14 14:31:23,2007-01-15 06:17:28,2007-01-15 19:08:03,2007-01-14 23:55:46,2007-01-15 12:22:53,3.36166666666667,0.152908133979986,0.514026177062721
"13",2007-01-15,"2007-01-15 12:00:00",0.2922,36.898,2007-01-15 06:17:28,2007-01-15 19:08:03,2007-01-16 03:49:33,2007-01-15 15:22:53,2007-01-16 06:17:51,2007-01-16 19:08:22,2007-01-16 00:49:33,2007-01-16 13:17:45,2.47166666666667,0.0875181493364534,0.216315692443267
"14",2007-01-16,"2007-01-16 12:00:00",0.2922,36.898,2007-01-16 06:17:51,2007-01-16 19:08:22,2007-01-16 03:49:33,2007-01-16 16:17:45,2007-01-17 06:18:13,2007-01-17 19:08:41,2007-01-17 01:46:03,2007-01-17 14:15:14,1.53611111111111,0.0381050155778774,0.0585335378182394
"15",2007-01-17,"2007-01-17 12:00:00",0.2922,36.898,2007-01-17 06:18:13,2007-01-17 19:08:41,2007-01-17 04:46:03,2007-01-17 17:15:14,2007-01-18 06:18:35,2007-01-18 19:08:59,2007-01-18 02:43:56,2007-01-18 15:12:59,0.5775,0.008385642081157,0.00484270830186817
"16",2007-01-18,"2007-01-18 12:00:00",0.2922,36.898,2007-01-18 06:18:35,2007-01-18 19:08:59,2007-01-18 05:43:56,2007-01-18 18:12:59,2007-01-19 06:18:56,2007-01-19 19:09:17,2007-01-19 03:41:01,2007-01-19 16:09:33,0,0.00157751399846584,0
"17",2007-01-19,"2007-01-19 12:00:00",0.2922,36.898,2007-01-19 06:18:56,2007-01-19 19:09:17,2007-01-19 06:41:01,2007-01-19 19:09:33,2007-01-20 06:19:16,2007-01-20 19:09:34,2007-01-19 03:41:01,2007-01-19 16:09:33,0.00444444444444444,0.0198788294718438,8.83503532081946e-05
"18",2007-01-20,"2007-01-20 12:00:00",0.2922,36.898,2007-01-20 06:19:16,2007-01-20 19:09:34,2007-01-20 07:36:22,2007-01-20 20:04:02,2007-01-21 06:19:36,2007-01-21 19:09:50,2007-01-20 04:36:22,2007-01-20 17:04:02,0.907777777777778,0.0639460913081256,0.0580488406652651
"19",2007-01-21,"2007-01-21 12:00:00",0.2922,36.898,2007-01-21 06:19:36,2007-01-21 19:09:50,2007-01-21 08:28:39,2007-01-21 20:55:55,2007-01-22 06:19:55,2007-01-22 19:10:05,2007-01-21 05:28:39,2007-01-21 17:55:55,1.76805555555556,0.132502235973662,0.234271314436766
"20",2007-01-22,"2007-01-22 12:00:00",0.2922,36.898,2007-01-22 06:19:55,2007-01-22 19:10:05,2007-01-22 09:19:20,2007-01-22 21:45:55,2007-01-23 06:20:13,2007-01-23 19:10:20,2007-01-22 06:19:20,2007-01-22 18:45:55,2.59722222222222,0.222202634518506,0.577109620207786
"21",2007-01-23,"2007-01-23 12:00:00",0.2922,36.898,2007-01-23 06:20:13,2007-01-23 19:10:20,2007-01-23 10:08:11,2007-01-23 22:34:54,2007-01-24 06:20:31,2007-01-24 19:10:34,2007-01-23 07:08:11,2007-01-23 19:34:54,3.40944444444444,0.327833163265426,1.11772895719996
"22",2007-01-24,"2007-01-24 12:00:00",0.2922,36.898,2007-01-24 06:20:31,2007-01-24 19:10:34,2007-01-24 10:57:37,2007-01-24 23:25:20,2007-01-25 06:20:48,2007-01-25 19:10:47,2007-01-24 07:57:37,2007-01-24 20:25:20,4.24611111111111,0.442827156876274,1.88029331111409
"23",2007-01-25,"2007-01-25 12:00:00",0.2922,36.898,2007-01-25 06:20:48,2007-01-25 19:10:47,2007-01-25 11:49:03,2007-01-26 00:17:18,2007-01-26 06:21:04,2007-01-26 19:10:59,2007-01-25 08:49:03,2007-01-25 21:17:18,5.10861111111111,0.559998347727056,2.8608137814023
"24",2007-01-26,"2007-01-26 12:00:00",0.2922,36.898,2007-01-26 06:21:04,2007-01-26 19:10:59,2007-01-26 12:42:17,2007-01-27 01:12:35,2007-01-27 06:21:20,2007-01-27 19:11:11,2007-01-26 09:42:17,2007-01-26 22:12:35,6.02666666666667,0.672330580467239,4.05191229828256
"25",2007-01-27,"2007-01-27 12:00:00",0.2922,36.898,2007-01-27 06:21:20,2007-01-27 19:11:11,2007-01-27 13:38:49,2007-01-28 02:10:46,2007-01-28 06:21:34,2007-01-28 19:11:21,2007-01-27 10:38:49,2007-01-27 23:10:46,6.99305555555556,0.773662960314978,5.41026806275821
"26",2007-01-28,"2007-01-28 12:00:00",0.2922,36.898,2007-01-28 06:21:34,2007-01-28 19:11:21,2007-01-28 14:37:49,2007-01-29 03:11:06,2007-01-29 06:21:48,2007-01-29 19:11:31,2007-01-28 11:37:49,2007-01-29 00:11:06,7.99583333333333,0.85915679193027,6.86967451547578
"27",2007-01-29,"2007-01-29 12:00:00",0.2922,36.898,2007-01-29 06:21:48,2007-01-29 19:11:31,2007-01-29 15:38:36,2007-01-29 03:11:06,2007-01-30 06:22:01,2007-01-30 19:11:41,2007-01-29 12:38:36,2007-01-30 01:11:35,9.00111111111111,0.925503306100806,8.33055809191403
"28",2007-01-30,"2007-01-30 12:00:00",0.2922,36.898,2007-01-30 06:22:01,2007-01-30 19:11:41,2007-01-30 16:38:10,2007-01-30 04:11:35,2007-01-31 06:22:14,2007-01-31 19:11:49,2007-01-30 13:38:10,2007-01-31 02:09:58,9.97138888888889,0.970898511448815,9.68120662929948
"29",2007-01-31,"2007-01-31 12:00:00",0.2922,36.898,2007-01-31 06:22:14,2007-01-31 19:11:49,2007-01-31 17:35:00,2007-01-31 05:09:58,2007-02-01 06:22:25,2007-02-01 19:11:57,2007-01-31 14:35:00,2007-02-01 03:04:40,10.8808333333333,0.994852969805979,10.8248293556306
"30",2007-02-01,"2007-02-01 12:00:00",0.2922,36.898,2007-02-01 06:22:25,2007-02-01 19:11:57,2007-02-01 18:26:52,2007-02-01 06:04:40,2007-02-02 06:22:36,2007-02-02 19:12:03,2007-02-01 15:26:52,2007-02-02 03:54:28,11.1775,0.997915326740135,11.1541985646379
