ID,date,mean_maxtemp_prev_30d,mean_maxtemp_prev_14d,mean_maxtemp_prev_7d,mean_maxtemp_prev_3d,maxtemp_prev_day,pack,landuse,denning,impala_1,impala_2,body_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,21/7/2001,28.2,28.8,28.9,29.0,28.1,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,25/7/2001,28.3,29.0,28.7,28.4,29.2,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,26/7/2001,28.2,28.9,28.6,28.4,28.2,Lolldaiga,commercial,denning,no,NA,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,29/7/2001,28.3,28.3,27.7,26.9,28.6,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,30/7/2001,28.2,28.1,27.4,27.1,25.7,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,11/9/2001,29.5,28.9,29.2,28.2,27.8,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,27/9/2001,29.3,29.8,30.0,30.3,31.0,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,27/9/2001,29.3,29.8,30.0,30.3,31.0,Lendile,pastoral,denning,yes,impala,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,26/6/2002,28.3,28.1,28.4,28.8,28.3,Sosian,commercial,denning,no,NA,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,14/7/2002,28.6,29.0,29.7,30.6,30.0,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,18/7/2002,29.0,29.5,30.4,30.4,29.9,Sosian,commercial,denning,yes,impala,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,26/7/2002,29.4,29.8,29.3,29.1,29.4,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,29/7/2002,29.3,29.5,29.0,29.0,27.5,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,30/7/2002,29.2,29.1,28.5,27.9,25.4,Lendile,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,7/8/2002,29.0,28.0,27.4,27.1,27.7,Sosian,commercial,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,20/8/2002,28.0,27.9,28.8,28.5,27.4,Sosian,commercial,denning,no,NA,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,1/9/2002,28.1,28.2,28.5,29.6,30.0,Chaitin uncollared,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,3/9/2002,27.9,28.2,28.8,28.3,27.4,Sosian,commercial,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,10/9/2002,28.3,28.9,29.0,29.1,29.4,Chaitin uncollared,pastoral,denning,no,dikdik,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
