ID,date,mean_maxtemp_prev_30d,mean_maxtemp_prev_14d,mean_maxtemp_prev_7d,mean_maxtemp_prev_3d,maxtemp_prev_day,pack,landuse,denning,impala,impala_1,impala_2,body_size,Moonlight_prev,Moonlight_prev_3,Moonlight_prev7,Rain3,Rain7,Rain14,Rain30,hare,dikdik
1855,08/01/2004,26.3,26.6,27,25.9,22.9,Churo,pastoral,not_denning,yes,1,impala,60,10.73975673,10.89069066,9.08452581,1.78,1.78,3.81,7.87,0,0
1853,08/01/2004,26.3,26.6,27,25.9,22.9,Sosian,commercial,not_denning,yes,1,impala,60,10.73975673,10.89069066,9.08452581,1.78,1.78,3.81,7.87,0,0
1942,17/01/2004,27.1,27.4,27.9,27.7,23,unknown,pastoral,not_denning,no,1,NA,13,0.933716724,1.747599113,3.932483404,44.45,57.91,59.69,61.72,0,0
1103,11/12/2002,26.7,25.8,24.6,23.8,23.2,Sosian,commercial,not_denning,no,1,dikdik,5.5,2.593765466,1.831560567,0.920970504,14.74,14.99,32.52,32.52,0,1
1027,30/10/2002,28.4,28,26.9,24.9,23.4,Sosian,commercial,not_denning,no,1,dikdik,5.5,1.445872857,2.375340421,4.780138637,23.11,30.98,41.39,48.25,0,1
547,12/03/2002,29.3,29.2,28.5,28.6,23.8,unknown,commercial,not_denning,no,0,dikdik,5.5,0.004393956,0.100651808,0.88847569,17.27,17.27,28.7,32.76,0,1
1846,11/12/2003,26.8,26.8,27.1,24.5,24,Churo,pastoral,not_denning,no,0,dikdik,5.5,8.909117316,9.986217559,9.927094637,25.9,33.26,42.9,102.61,0,1
2689,13/03/2004,29.9,29.7,29.5,28,24.3,unknown,pastoral,not_denning,no,0,dikdik,5.5,3.417710941,4.828720775,7.491322296,14.22,14.22,14.22,25.39,0,1
1864,14/12/2003,26.6,26.7,25.6,25.7,24.5,unknown,pastoral,not_denning,no,0,dikdik,5.5,5.211288522,6.447387024,8.625503783,0,29.96,37.06,90.68,0,1
4284,08/06/2004,30.2,29.6,28.8,27.6,24.6,unknown,pastoral,not_denning,no,0,dikdik,5.5,4.390018446,5.72654868,8.242366336,1.02,1.02,1.02,2.03,0,1
4141,08/06/2004,30.2,29.6,28.8,27.6,24.6,unknown,pastoral,not_denning,no,0,dikdik,5.5,4.390018446,5.72654868,8.242366336,1.02,1.02,1.02,2.03,0,1
