,X.3,X.2,X.1,X,localtimestamp,localdate,date,localtime,location.long,location.lat,ID,dawn,dawnafter,dusk,moonrise,moonset,illumination,moonoverlap,rain,rain.30,displacement,glade.dist,glade.random,maxtemp,effectivedawn,effectivedusk,period,season,moonshine,woody,in.glade,daytemp,partofday,moonprev,delete,startstop,woodyaverage,gladedistmin,p.inglade,moonaverage,glade.dist.km
1,1,1,2307,2307,07/09/2011 10:40,07/09/2011,07/09/2011,10:40:00,36.8361124,0.4958595,1145.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0,0.000827722,0.000537195,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.06301,0,Cool,B,4.655405075,NO,Start,0.063208621,0.000550039,0,0,0.061054329
30,30,30,2336,2336,07/09/2011 16:49,07/09/2011,07/09/2011,16:49:00,36.8356848,0.4955921,1145.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.524784851,0.000832276,0.00197703,24.82,07/09/2011 06:07,07/09/2011 18:56,Day,Wet,0,0.05333,0,Cool,C,4.655405075,NO,Start,0.053170769,0.000440851,0,0,0.048934461
43,43,43,2349,2349,07/09/2011 19:00,07/09/2011,07/09/2011,19:00:00,36.8364179,0.4949059,1145.11,07/09/2011 06:07,08/09/2011 06:07,07/09/2011 18:56,07/09/2011 14:46,08/09/2011 03:13,0.733225625,08:17:00,30.3,171.2,0.225715662,0.000549324,0.00035283,24.82,07/09/2011 06:07,07/09/2011 18:56,Night,Wet,0.733225625,0.04666,0,Cool,D,4.655405075,NO,Start,0.054376415,0.000149946,0,0.511874493,0.016644006
96,96,96,2402,2402,08/09/2011 06:10,08/09/2011,08/09/2011,06:10:00,36.8365009,0.494927,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.379063332,0.000471192,0.001339592,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.04423,0,Mild,A,6.07355226,NO,Start,0.045014667,0.000471192,0,0,0.052302312
111,111,111,2417,2417,08/09/2011 10:10,08/09/2011,08/09/2011,10:10:00,36.8366507,0.4944632,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.346470922,0.000759708,0.000554632,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.03785,0,Mild,B,6.07355226,NO,Start,0.059447742,0.000460488,0,0,0.051114168
142,142,142,2448,2448,08/09/2011 17:20,08/09/2011,08/09/2011,17:20:00,36.8360159,0.4958177,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.168115734,0.000894667,0.001241616,25.16,08/09/2011 06:07,08/09/2011 18:55,Day,Wet,0,0.05419,0,Mild,C,6.07355226,NO,Start,0.046135,0,0.125,0,0
150,150,150,2456,2456,08/09/2011 19:00,08/09/2011,08/09/2011,19:00:00,36.8366182,0.4948669,1145.11,08/09/2011 06:07,09/09/2011 06:07,08/09/2011 18:55,08/09/2011 15:38,09/09/2011 04:03,0.822222635,09:08:00,0,200.9,0.52553311,0.000437384,0.001368354,25.16,08/09/2011 06:07,08/09/2011 18:55,Night,Wet,0.822222635,0.03562,0,Mild,D,6.07355226,NO,Start,0.047178966,0.000251471,0,0.694636364,0.027913281
208,208,208,2514,2514,09/09/2011 06:10,09/09/2011,09/09/2011,06:10:00,36.8360507,0.4950121,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.437048464,0.000837595,0,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.04337,0,Mild,A,7.5096334,NO,Start,0.062164737,0.000270961,0,0,0.030076671
227,227,227,2533,2533,09/09/2011 09:40,09/09/2011,09/09/2011,09:40:00,36.8362891,0.4956471,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.158228442,0.000576967,0.000567494,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.05756,0,Mild,B,7.5096334,NO,Start,0.059461389,0.000576967,0,0,0.064043337
263,263,263,2569,2569,09/09/2011 17:00,09/09/2011,09/09/2011,17:00:00,36.8356113,0.4954171,1145.11,09/09/2011 06:07,10/09/2011 06:06,09/09/2011 18:55,09/09/2011 16:25,10/09/2011 04:49,0.894336088,09:54:00,0,198.3,0.451990841,0.000748046,0.000656777,25.62,09/09/2011 06:07,09/09/2011 18:55,Day,Wet,0,0.05469,0,Mild,C,7.5096334,NO,Start,0.05379,0.000524941,0,0,0.058268451
