Date,Temp,Period
01/01/2001,26.77,A
02/01/2001,27.7,A
03/01/2001,29.77,A
04/01/2001,28.68,A
05/01/2001,26.95,A
06/01/2001,25.42,A
07/01/2001,25.48,A
08/01/2001,27.23,A
09/01/2001,27.64,A
10/01/2001,27.01,A
11/01/2001,27.93,A
12/01/2001,25.13,A
13/01/2001,26.52,A
14/01/2001,25.96,A
15/01/2001,25.96,A
16/01/2001,27.05,A
17/01/2001,27.23,A
18/01/2001,26.91,A
19/01/2001,28.09,A
20/01/2001,29.71,A
21/01/2001,28.33,A
22/01/2001,26.32,A
23/01/2001,27.52,A
24/01/2001,26.24,A
25/01/2001,24.81,A
26/01/2001,25.8,A
27/01/2001,27.1,A
28/01/2001,27.59,A
29/01/2001,29.57,A
30/01/2001,26.94,A
31/01/2001,28.15,A
01/02/2001,28.3,A
02/02/2001,28.35,A
03/02/2001,31.13,A
04/02/2001,31.32,A
05/02/2001,30.01,A
06/02/2001,30.3,A
07/02/2001,28.57,A
08/02/2001,28.89,A
09/02/2001,27.78,A
10/02/2001,31.38,A
11/02/2001,30.97,A
12/02/2001,28.45,A
13/02/2001,28.91,A
14/02/2001,28.89,A
15/02/2001,28.32,A
16/02/2001,28.82,A
17/02/2001,29.46,A
18/02/2001,30.57,A
19/02/2001,30.15,A
20/02/2001,30.09,A
21/02/2001,29.74,A
22/02/2001,30.1,A
23/02/2001,30.33,A
24/02/2001,29.79,A
25/02/2001,28.91,A
26/02/2001,29.05,A
27/02/2001,28.42,A
28/02/2001,27.47,A
01/03/2001,27.24,A
02/03/2001,27.39,A
03/03/2001,29.92,A
04/03/2001,32.01,A
05/03/2001,30.07,A
06/03/2001,28.84,A
07/03/2001,26.09,A
08/03/2001,27.57,A
09/03/2001,28.76,A
10/03/2001,29.55,A
11/03/2001,31.34,A
12/03/2001,31.31,A
13/03/2001,30.1,A
14/03/2001,30.07,A
15/03/2001,30.27,A
16/03/2001,29.97,A
17/03/2001,29.89,A
18/03/2001,30.16,A
19/03/2001,28.72,A
20/03/2001,28.11,A
21/03/2001,28.99,A
22/03/2001,31.66,A
23/03/2001,31.52,A
24/03/2001,30.66,A
25/03/2001,29.14,A
26/03/2001,28.15,A
27/03/2001,22.72,A
28/03/2001,26.01,A
29/03/2001,28.5,A
30/03/2001,27.24,A
31/03/2001,28.01,A
01/04/2001,25.64,A
02/04/2001,27.89,A
03/04/2001,29.61,A
04/04/2001,29.32,A
05/04/2001,28.32,A
06/04/2001,29.52,A
07/04/2001,29.1,A
08/04/2001,25.57,A
09/04/2001,27.59,A
10/04/2001,28.45,A
11/04/2001,28.1,A
12/04/2001,28.79,A
13/04/2001,30.06,A
14/04/2001,28.92,A
15/04/2001,26.32,A
16/04/2001,26.79,A
17/04/2001,27.45,A
18/04/2001,27.7,A
19/04/2001,28.3,A
20/04/2001,26.26,A
21/04/2001,27.91,A
22/04/2001,26.33,A
23/04/2001,28.6,A
24/04/2001,27.97,A
25/04/2001,28.3,A
26/04/2001,25.43,A
27/04/2001,28.07,A
28/04/2001,32.09,A
29/04/2001,29.42,A
30/04/2001,25.62,A
01/05/2001,28.9,A
02/05/2001,30.45,A
03/05/2001,30.63,A
04/05/2001,29.3,A
05/05/2001,29.85,A
06/05/2001,29.42,A
07/05/2001,29.2,A
08/05/2001,30.92,A
09/05/2001,28.13,A
10/05/2001,27.42,A
11/05/2001,25.91,A
12/05/2001,27.64,A
13/05/2001,28.98,A
14/05/2001,29.11,A
15/05/2001,30.51,A
16/05/2001,30.12,A
17/05/2001,29.46,A
18/05/2001,29.79,A
19/05/2001,27.35,A
20/05/2001,30.49,A
21/05/2001,26.88,A
22/05/2001,29.61,A
23/05/2001,29.85,A
24/05/2001,26.99,A
25/05/2001,29.76,A
26/05/2001,29.02,A
27/05/2001,27.02,A
28/05/2001,26.1,A
29/05/2001,29.09,A
30/05/2001,28.62,A
31/05/2001,28.76,A
01/06/2001,28.93,A
02/06/2001,28.13,A
03/06/2001,28.26,A
04/06/2001,29.56,A
05/06/2001,30.37,A
06/06/2001,30.5,A
07/06/2001,26.18,A
08/06/2001,29.78,A
09/06/2001,28.36,A
10/06/2001,29.9,A
11/06/2001,28.42,A
12/06/2001,28.39,A
13/06/2001,27.36,A
14/06/2001,27.46,A
15/06/2001,28.44,A
